time,date,Machine,SampleID,Remove,A,Ci,VPDleaf,Tair,Tleaf,TBlk,CO2r,CO2s,H2Or,H2Os,RHs,flow,Qin,Patm
15:45:55,20200122,Andy,BNL17168,NO,1.02,107,1.07,28.19,28.73,28.02,124.93,123.53,27.63,29.05,75.4,500.1,1499,99.55
15:44:24,20200122,Andy,BNL17168,NO,2,140,1.07,28.19,28.72,28.02,175.05,172.41,27.58,28.98,75.2,500.1,1499,99.55
15:43:02,20200122,Andy,BNL17168,NO,3.19,194,1.08,28.18,28.73,28.02,249.94,245.77,27.55,28.94,75.1,500.1,1499,99.55
15:41:40,20200122,Andy,BNL17168,NO,4.22,226,1.08,28.19,28.73,28.02,299.94,294.46,27.5,28.88,75,500.1,1499,99.55
15:40:18,20200122,Andy,BNL17168,NO,5.78,297,1.09,28.18,28.72,28.02,400.05,392.57,27.45,28.81,74.8,500.1,1500,99.55
15:53:29,20200122,Andy,BNL17168,NO,6.45,305,1.03,28.17,28.77,28.02,400.14,391.77,27.99,29.56,76.8,500.1,1500,99.55
15:52:07,20200122,Andy,BNL17168,YES,6.25,306,1.03,28.19,28.77,28.02,399.98,391.86,27.94,29.5,76.6,500.1,1500,99.55
15:50:45,20200122,Andy,BNL17168,YES,6.13,307,1.04,28.18,28.76,28.02,400.07,392.1,27.88,29.43,76.4,500.2,1500,99.55
16:08:02,20200122,Andy,BNL17168,YES,5.16,320,1,28.29,29.18,28.02,399.71,392.92,29.26,30.74,79.3,500,1499,99.54
15:55:15,20200122,Andy,BNL17168,NO,7.63,364,1.02,28.19,28.78,28.02,474.89,464.97,28.08,29.67,77,500.2,1500,99.55
15:57:07,20200122,Andy,BNL17168,NO,8.93,445,1.01,28.19,28.81,28.02,574.88,563.25,28.2,29.78,77.3,500.1,1499,99.54
15:58:37,20200122,Andy,BNL17168,NO,10,530,1.01,28.21,28.85,28.02,674.96,661.84,28.32,29.92,77.5,500.2,1499,99.54
16:00:07,20200122,Andy,BNL17168,NO,11,640,1,28.21,28.88,28.02,800.16,785.62,28.45,30.04,77.9,500.1,1500,99.54
16:02:29,20200122,Andy,BNL17168,NO,12.3,821,1,28.24,28.95,28.02,1000.11,983.79,28.7,30.28,78.4,500.1,1499,99.54
16:04:24,20200122,Andy,BNL17168,NO,13.4,1200,0.99,28.26,29.02,28.02,1399.78,1381.44,28.97,30.54,78.9,500,1499,99.53
16:06:05,20200122,Andy,BNL17168,NO,14.2,1580,0.98,28.27,29.07,28.02,1799.97,1780.16,29.21,30.74,79.4,500,1499,99.54
15:52:21,20200122,Bernie,BNL17169,YES,-0.3,55.5,1.21,28.23,29.44,28.01,50.16,50.46,28.11,29.28,75.8,499.9,1500,99.56
15:50:59,20200122,Bernie,BNL17169,YES,0.02,67.9,1.22,28.23,29.43,28.01,69.82,69.72,28.06,29.17,75.5,499.8,1499,99.56
15:49:25,20200122,Bernie,BNL17169,YES,0.86,102,1.23,28.23,29.44,28.01,125.03,123.87,28,29.05,75.2,500,1499,99.56
15:48:03,20200122,Bernie,BNL17169,YES,1.59,132,1.24,28.22,29.43,28.01,174.89,172.81,27.93,28.94,75,500,1499,99.56
15:46:41,20200122,Bernie,BNL17169,YES,2.58,179,1.25,28.23,29.43,28.01,249.67,246.33,27.88,28.87,74.7,499.8,1499,99.56
15:45:19,20200122,Bernie,BNL17169,YES,3.26,207,1.26,28.22,29.43,28.01,299.96,295.75,27.82,28.77,74.5,499.9,1499,99.56
15:43:57,20200122,Bernie,BNL17169,YES,4.73,262,1.26,28.21,29.41,28.01,400.18,394.13,27.73,28.66,74.3,499.9,1500,99.56
15:55:39,20200122,Bernie,BNL17169,YES,6.95,264,1.19,28.25,29.46,28.01,400.18,391.31,28.24,29.56,76.4,499.9,1500,99.55
15:54:17,20200122,Bernie,BNL17169,YES,6.52,265,1.2,28.24,29.45,28.01,400.19,391.86,28.18,29.44,76.1,499.7,1500,99.56
15:57:01,20200122,Bernie,BNL17169,YES,7.1,266,1.18,28.26,29.48,28.01,400.09,391.01,28.32,29.68,76.7,499.9,1499,99.55
15:41:27,20200122,Bernie,BNL17169,YES,4.61,275,1.28,28.12,29.32,27.9,410.41,404.49,27.4,28.34,73.8,500,1500,99.56
16:12:32,20200122,Bernie,BNL17169,YES,6.32,282,1.12,28.36,29.68,28.01,399.83,391.71,29.49,30.8,79.1,499.7,1501,99.54
15:58:46,20200122,Bernie,BNL17169,YES,8.88,315,1.18,28.29,29.54,28.01,475.09,463.75,28.42,29.85,77,499.9,1499,99.55
16:00:28,20200122,Bernie,BNL17169,YES,10.7,383,1.17,28.3,29.55,28.01,575.19,561.46,28.54,29.98,77.3,499.9,1501,99.55
16:02:47,20200122,Bernie,BNL17169,YES,12.3,462,1.15,28.32,29.57,28.01,675.06,659.23,28.71,30.18,77.7,499.9,1500,99.55
16:04:23,20200122,Bernie,BNL17169,YES,14.1,558,1.16,28.35,29.66,28.01,799.94,781.84,28.87,30.36,78,499.9,1499,99.54
16:06:31,20200122,Bernie,BNL17169,YES,15.7,732,1.15,28.39,29.72,28.01,1000.15,979.73,29.06,30.57,78.4,499.9,1500,99.55
16:08:25,20200122,Bernie,BNL17169,YES,17.3,1090,1.15,28.41,29.78,28.01,1400.05,1377.2,29.21,30.69,78.6,499.8,1500,99.54
16:10:32,20200122,Bernie,BNL17169,YES,17.6,1470,1.13,28.39,29.71,28.01,1799.3,1775.67,29.33,30.72,78.8,499.9,1501,99.54
17:19:37,20200122,Derek,BNL17170,NO,-0.34,53,1.05,27.96,28.87,27.9,49.92,50.23,27.75,29.62,77.8,499.8,1500,99.44
17:18:15,20200122,Derek,BNL17170,NO,0.34,64.4,1.04,27.89,28.85,27.73,69.89,69.35,27.77,29.6,78.1,499.9,1500,99.44
17:16:42,20200122,Derek,BNL17170,NO,2.07,97.1,1.04,27.88,28.84,27.72,124.94,122.23,27.82,29.61,78.1,499.8,1500,99.45
15:57:58,20200122,Derek,BNL17170,YES,2,97.5,4.1,29.01,29.59,28.04,402.74,400.1,0.09,0.66,2.1,499.8,1501,99.54
17:15:19,20200122,Derek,BNL17170,NO,3.5,127,1.06,27.85,28.93,27.57,174.96,170.45,27.85,29.59,78.2,499.8,1500,99.45
17:13:57,20200122,Derek,BNL17170,NO,5.68,172,1.1,28.25,29.12,28.15,249.95,242.68,27.88,29.68,76.6,499.8,1500,99.45
17:12:35,20200122,Derek,BNL17170,NO,7.26,201,1.1,28.34,29.14,28.31,299.96,290.7,27.9,29.71,76.3,499.8,1500,99.45
17:11:07,20200122,Derek,BNL17170,NO,9.9,264,1.11,28.42,29.16,28.41,399.99,387.38,27.89,29.69,75.9,499.8,1500,99.45
17:25:16,20200122,Derek,BNL17170,NO,10.4,276,1.05,28.08,28.86,28.04,399.94,386.71,27.59,29.58,77.2,499.8,1501,99.44
17:23:36,20200122,Derek,BNL17170,YES,10.3,277,1.05,28.09,28.89,28.04,400.07,386.94,27.63,29.62,77.2,499.8,1500,99.44
17:21:56,20200122,Derek,BNL17170,YES,9.99,278,1.05,28.08,28.89,28.04,400.05,387.28,27.66,29.62,77.3,499.8,1500,99.44
17:40:57,20200122,Derek,BNL17170,YES,7.74,280,1.19,28.44,28.94,28.67,399.83,389.85,26.68,28.39,72.5,499.8,1501,99.41
17:27:07,20200122,Derek,BNL17170,NO,12.1,328,1.05,28.24,28.83,28.35,474.92,459.39,27.52,29.49,76.2,499.7,1500,99.43
17:28:47,20200122,Derek,BNL17170,NO,14.1,401,1.06,28.25,28.85,28.35,575.18,557.11,27.43,29.39,75.9,499.7,1500,99.43
17:30:28,20200122,Derek,BNL17170,NO,15.2,484,1.09,28.43,28.91,28.67,674.8,655.17,27.33,29.31,74.9,499.8,1500,99.44
17:32:01,20200122,Derek,BNL17170,NO,16.6,584,1.1,28.46,28.94,28.67,800.02,778.49,27.24,29.19,74.5,499.8,1500,99.44
17:34:07,20200122,Derek,BNL17170,NO,17.4,765,1.13,28.47,28.97,28.66,1000.2,977.36,27.11,29.04,74,499.8,1500,99.43
17:36:29,20200122,Derek,BNL17170,NO,18.5,1130,1.14,28.46,28.94,28.66,1400.08,1375.19,26.94,28.81,73.5,499.8,1501,99.42
17:38:51,20200122,Derek,BNL17170,NO,18.7,1510,1.16,28.45,28.91,28.67,1799.48,1773.8,26.77,28.55,72.9,499.8,1501,99.42
16:38:24,20200122,Mariano,BNL17171,NO,0.17,47.3,1.04,27.3,29.02,27.14,50.12,49.83,28.07,30,82,499.4,1499,99.54
16:37:02,20200122,Mariano,BNL17171,NO,0.68,60.5,1.03,27.28,28.98,27.14,69.89,68.94,28.11,29.98,82,499.3,1500,99.54
16:35:28,20200122,Mariano,BNL17171,NO,2.06,98,1.04,27.29,29.03,27.13,125.01,122.31,28.18,30.02,82.1,499.3,1500,99.54
16:34:06,20200122,Mariano,BNL17171,NO,3.21,133,1.04,27.31,29.04,27.13,174.93,170.75,28.25,30.09,82.2,499.3,1499,99.55
16:32:43,20200122,Mariano,BNL17171,NO,5.07,184,1.04,27.32,29.09,27.14,250.05,243.5,28.35,30.16,82.3,499.3,1500,99.55
16:31:21,20200122,Mariano,BNL17171,NO,6.25,217,1.04,27.33,29.08,27.13,299.94,291.9,28.41,30.17,82.3,499.3,1500,99.56
16:29:59,20200122,Mariano,BNL17171,NO,8.25,286,1.04,27.36,29.12,27.03,400.02,389.42,28.53,30.23,82.3,499.3,1500,99.56
16:43:13,20200122,Mariano,BNL17171,NO,8.06,302,1.06,27.32,29.07,27.13,400.02,389.52,27.88,29.91,81.6,499.4,1500,99.53
16:40:29,20200122,Mariano,BNL17171,YES,7.75,305,1.05,27.31,29.05,27.14,399.92,389.81,27.97,29.95,81.8,499.4,1501,99.53
16:41:51,20200122,Mariano,BNL17171,YES,7.81,305,1.06,27.32,29.07,27.14,400.02,389.82,27.92,29.94,81.7,499.4,1500,99.53
16:58:22,20200122,Mariano,BNL17171,YES,7.06,312,1.06,27.12,29.04,26.82,400.12,390.85,27.93,29.9,82.6,499.6,1500,99.51
16:09:08,20200122,Mariano,BNL17171,YES,6.23,346,1.23,28.4,30.31,27.66,410.37,401.6,28.13,31.22,80.1,499.6,1499,99.58
16:44:56,20200122,Mariano,BNL17171,NO,9.23,363,1.06,27.33,29.07,27.14,474.93,462.87,27.84,29.89,81.5,499.4,1500,99.53
16:46:44,20200122,Mariano,BNL17171,NO,10.3,449,1.07,27.34,29.11,27.14,574.82,561.2,27.87,29.93,81.6,499.5,1500,99.52
16:48:25,20200122,Mariano,BNL17171,NO,11,540,1.07,27.35,29.12,27.14,674.88,660.24,27.87,29.94,81.6,499.5,1500,99.52
16:49:51,20200122,Mariano,BNL17171,NO,11.4,656,1.08,27.27,29.14,26.98,799.97,784.57,27.87,29.92,81.9,499.5,1499,99.52
16:51:42,20200122,Mariano,BNL17171,NO,11.8,847,1.06,27.14,29.05,26.82,999.93,983.72,27.86,29.86,82.3,499.6,1499,99.52
16:53:43,20200122,Mariano,BNL17171,NO,12.1,1230,1.06,27.11,29.02,26.83,1399.54,1382.22,27.86,29.83,82.4,499.6,1499,99.52
16:56:05,20200122,Mariano,BNL17171,NO,12.6,1620,1.05,27.11,29.01,26.83,1799.95,1781.17,27.89,29.86,82.5,499.6,1501,99.51
18:11:46,20200122,Andy,BNL17182,NO,-0.21,51.2,1.26,28.89,29.55,29.16,49.97,50.1,26.74,29.13,72.5,500.2,1500,99.4
18:09:24,20200122,Andy,BNL17182,NO,0.34,69.5,1.18,28.91,29.19,29.35,74.76,74.16,26.68,29.07,72.2,500.1,1500,99.4
18:06:47,20200122,Andy,BNL17182,NO,0.95,87,1.25,28.23,29.45,28.13,100.03,98.64,26.62,28.97,74.9,500.2,1500,99.41
18:04:25,20200122,Andy,BNL17182,NO,2.14,123,1.29,28.95,29.64,29.19,149.88,146.93,26.52,29.03,72,500.2,1500,99.41
18:02:03,20200122,Andy,BNL17182,NO,3.95,177,1.28,28.95,29.62,29.19,224.93,219.61,26.46,29.02,71.9,500.2,1501,99.41
17:59:41,20200122,Andy,BNL17182,NO,5.67,233,1.28,28.96,29.62,29.19,299.91,292.32,26.38,29.01,71.9,500.1,1499,99.41
18:39:27,20200122,Andy,BNL17182,YES,3.93,283,1.36,28.65,29.56,28.88,389.94,384.78,27.05,28.15,71,500.2,1499,99.35
18:19:16,20200122,Andy,BNL17182,NO,6.81,297,1.24,28.48,29.39,28.65,399.9,390.98,27.04,28.92,73.7,500.1,1500,99.38
18:16:54,20200122,Andy,BNL17182,YES,7.09,306,1.21,28.45,29.36,28.66,399.91,390.55,26.99,29.12,74.3,500.2,1500,99.39
17:25:07,20200122,Andy,BNL17182,YES,7.81,311,1.16,28.54,29.51,28.5,399.92,389.56,27.54,29.98,76.2,500.1,1501,99.45
17:29:51,20200122,Andy,BNL17182,YES,7.8,312,1.16,28.99,29.42,29.35,399.9,389.56,27.26,29.73,73.5,500.2,1500,99.45
17:32:13,20200122,Andy,BNL17182,NO,7.75,312,1.18,29,29.42,29.35,399.97,389.68,27.11,29.6,73.2,500.2,1500,99.45
17:34:35,20200122,Andy,BNL17182,YES,7.77,312,1.19,28.99,29.41,29.35,400.02,389.69,26.97,29.49,72.9,500.1,1501,99.44
17:36:57,20200122,Andy,BNL17182,YES,7.75,312,1.19,28.98,29.37,29.35,400.11,389.79,26.81,29.34,72.6,500.2,1501,99.43
17:54:57,20200122,Andy,BNL17182,YES,7.77,312,1.28,29.16,29.59,29.51,399.91,389.5,26.27,28.99,71,500.2,1500,99.41
17:57:19,20200122,Andy,BNL17182,YES,7.61,312,1.29,29.17,29.64,29.51,399.89,389.68,26.32,29.01,71,500.2,1499,99.41
18:14:32,20200122,Andy,BNL17182,YES,6.9,312,1.25,28.5,29.56,28.23,400.04,390.84,26.93,29.24,74.4,500.2,1500,99.39
17:27:29,20200122,Andy,BNL17182,YES,7.85,313,1.13,28.76,29.31,29.23,400.12,389.72,27.4,29.84,74.8,500.2,1500,99.45
17:39:19,20200122,Andy,BNL17182,YES,7.72,313,1.2,28.98,29.36,29.35,400.14,389.84,26.65,29.22,72.3,500.2,1500,99.43
17:41:41,20200122,Andy,BNL17182,YES,7.72,313,1.21,28.97,29.36,29.35,399.98,389.68,26.51,29.1,72.1,500.1,1500,99.42
17:44:03,20200122,Andy,BNL17182,YES,7.75,313,1.23,29.1,29.41,29.51,400.16,389.8,26.39,29.04,71.4,500.2,1500,99.42
17:48:47,20200122,Andy,BNL17182,YES,7.75,313,1.26,29.13,29.49,29.51,400.04,389.66,26.28,28.99,71.1,500.2,1499,99.42
17:22:04,20200122,Andy,BNL17182,YES,8.25,314,1.14,28.87,29.54,29.04,400.23,389.27,27.58,30.22,75.3,500.1,1500,99.45
17:46:25,20200122,Andy,BNL17182,YES,7.72,314,1.24,29.11,29.44,29.51,400,389.67,26.32,29,71.2,500.2,1500,99.42
17:52:02,20200122,Andy,BNL17182,YES,7.58,315,1.26,29.14,29.53,29.51,399.67,389.47,26.23,28.99,71.1,500.2,1499,99.42
18:21:38,20200122,Andy,BNL17182,NO,7.79,349,1.25,28.48,29.4,28.65,474.99,464.81,27.1,28.85,73.5,500.2,1500,99.38
18:24:15,20200122,Andy,BNL17182,NO,8.82,423,1.26,28.46,29.42,28.61,574.99,563.46,27.15,28.8,73.4,500.2,1499,99.37
18:27:28,20200122,Andy,BNL17182,NO,9.51,499,1.26,28.44,29.4,28.61,675.06,662.6,27.18,28.72,73.3,500.2,1499,99.37
18:29:50,20200122,Andy,BNL17182,NO,10.3,595,1.27,28.43,29.39,28.61,800.13,786.68,27.2,28.63,73.1,500.2,1500,99.36
18:32:12,20200122,Andy,BNL17182,NO,11,761,1.27,28.42,29.37,28.61,999.95,985.37,27.21,28.53,72.9,500.2,1500,99.36
18:34:34,20200122,Andy,BNL17182,NO,11.8,1120,1.28,28.42,29.38,28.61,1399.88,1383.95,27.23,28.47,72.8,500.2,1499,99.36
18:37:05,20200122,Andy,BNL17182,NO,12.2,1480,1.32,28.64,29.5,28.88,1800.17,1783.37,27.24,28.42,71.7,500.2,1499,99.36
21:22:22,20200122,Bernie,BNL17184,NO,-0.44,56.7,1.25,28.36,29.09,28.45,49.99,50.44,26.76,28.19,72.1,499.9,1500,99.18
21:21:00,20200122,Bernie,BNL17184,NO,0.26,68.6,1.25,28.36,29.09,28.45,74.91,74.5,26.74,28.15,72.1,499.9,1500,99.18
21:19:38,20200122,Bernie,BNL17184,NO,0.68,85.5,1.25,28.36,29.09,28.45,100.12,99.16,26.72,28.13,72,499.8,1500,99.18
21:18:16,20200122,Bernie,BNL17184,NO,1.98,111,1.26,28.38,29.11,28.44,150.1,147.51,26.72,28.13,71.9,499.8,1500,99.18
21:16:48,20200122,Bernie,BNL17184,NO,3.54,156,1.27,28.48,29.17,28.55,225.02,220.44,26.71,28.14,71.5,499.9,1500,99.18
21:15:26,20200122,Bernie,BNL17184,NO,5.58,192,1.27,28.57,29.18,28.71,299.96,292.82,26.69,28.13,71.1,499.9,1500,99.19
20:41:58,20200122,Bernie,BNL17184,YES,3.87,231,1.33,28.11,28.93,28.23,404.86,399.96,26.39,27.01,70.2,499.9,1500,99.21
21:12:42,20200122,Bernie,BNL17184,YES,8.12,246,1.24,28.51,29.03,28.77,400.01,389.69,26.68,28.1,71.3,499.9,1500,99.19
21:14:04,20200122,Bernie,BNL17184,NO,7.98,248,1.27,28.65,29.18,28.86,399.97,389.81,26.68,28.14,70.8,499.8,1500,99.19
21:24:09,20200122,Bernie,BNL17184,YES,8.15,248,1.24,28.37,29.1,28.45,400.01,389.64,26.8,28.25,72.3,499.9,1500,99.18
21:25:31,20200122,Bernie,BNL17184,YES,8.17,249,1.24,28.37,29.1,28.45,400.14,389.75,26.83,28.3,72.4,499.9,1499,99.18
21:26:53,20200122,Bernie,BNL17184,NO,8.28,250,1.24,28.38,29.11,28.44,400.2,389.67,26.85,28.33,72.5,499.9,1499,99.18
21:40:26,20200122,Bernie,BNL17184,YES,4.22,266,1.27,28.2,29.13,28.13,389.92,384.49,27.09,28.02,72.4,499.9,1499,99.16
21:28:34,20200122,Bernie,BNL17184,NO,9.81,296,1.23,28.38,29.11,28.44,474.88,462.4,26.88,28.36,72.5,499.9,1499,99.18
21:30:06,20200122,Bernie,BNL17184,NO,11.7,357,1.23,28.38,29.1,28.44,574.78,559.89,26.9,28.35,72.5,499.9,1499,99.18
21:31:32,20200122,Bernie,BNL17184,NO,13,422,1.24,28.38,29.12,28.44,674.73,658.24,26.92,28.3,72.4,499.9,1499,99.18
21:33:00,20200122,Bernie,BNL17184,NO,14.2,505,1.25,28.38,29.11,28.45,799.72,781.63,26.94,28.24,72.2,499.9,1499,99.18
21:35:00,20200122,Bernie,BNL17184,NO,15.2,654,1.26,28.38,29.12,28.44,1000.29,980.79,26.96,28.16,72,499.9,1499,99.17
21:36:58,20200122,Bernie,BNL17184,NO,16.7,983,1.27,28.38,29.13,28.45,1399.85,1378.18,26.98,28.09,71.8,499.9,1499,99.17
21:38:47,20200122,Bernie,BNL17184,NO,17.2,1330,1.28,28.38,29.15,28.44,1799.88,1777.3,27,28.03,71.6,499.9,1499,99.17
22:20:01,20200122,Andy,BNL17185,NO,-0.36,55.9,1.26,28.84,29.45,29.08,49.75,50.12,27.63,28.92,71.9,501,1501,99.15
22:18:38,20200122,Andy,BNL17185,NO,0.08,66.7,1.27,28.85,29.49,29.08,69.86,69.67,27.66,28.93,71.9,501,1500,99.16
22:17:06,20200122,Andy,BNL17185,NO,1.45,92.1,1.27,28.86,29.51,29.08,124.81,122.92,27.73,28.97,72,501,1500,99.16
22:15:31,20200122,Andy,BNL17185,NO,2.54,118,1.27,28.87,29.55,29.08,175.12,171.86,27.79,29.03,72.1,501,1500,99.16
22:14:09,20200122,Andy,BNL17185,NO,4.26,156,1.28,28.89,29.59,29.08,249.85,244.44,27.84,29.08,72.2,501,1500,99.15
22:12:34,20200122,Andy,BNL17185,NO,5.33,181,1.29,28.99,29.68,29.04,299.93,293.17,27.87,29.12,71.8,501,1500,99.15
22:06:38,20200122,Andy,BNL17185,NO,7.44,226,1.26,28.83,29.52,29.04,390.28,380.9,27.81,29.04,72.3,501,1500,99.15
22:11:12,20200122,Andy,BNL17185,NO,7.67,234,1.29,29.14,29.66,29.43,400,390.3,27.88,29.16,71.3,501,1500,99.15
22:21:43,20200122,Andy,BNL17185,YES,8.09,237,1.25,28.83,29.41,29.08,400.23,390.02,27.65,28.98,72.1,501.1,1501,99.16
22:23:05,20200122,Andy,BNL17185,YES,8.06,241,1.24,28.82,29.38,29.08,400.08,389.89,27.6,28.96,72.1,501,1501,99.16
22:24:27,20200122,Andy,BNL17185,NO,7.98,244,1.23,28.81,29.34,29.08,399.97,389.86,27.55,28.92,72.1,501,1501,99.16
22:38:56,20200122,Andy,BNL17185,YES,5.22,253,1.34,28.93,29.46,29.23,400.05,393.38,27.1,28.12,69.6,501,1499,99.17
22:26:13,20200122,Andy,BNL17185,NO,9.59,287,1.24,28.92,29.37,29.23,474.78,462.65,27.5,28.88,71.5,501.1,1501,99.16
22:28:01,20200122,Andy,BNL17185,NO,11.3,348,1.26,28.93,29.39,29.23,574.8,560.46,27.46,28.81,71.3,501,1501,99.16
22:29:33,20200122,Andy,BNL17185,NO,12.8,407,1.26,28.93,29.39,29.23,675.03,658.79,27.43,28.74,71.1,501.1,1501,99.16
22:31:04,20200122,Andy,BNL17185,NO,14.5,491,1.27,28.93,29.4,29.24,800.11,781.7,27.39,28.68,71,501.1,1499,99.16
22:32:59,20200122,Andy,BNL17185,NO,15.9,644,1.28,28.93,29.39,29.23,1000.16,979.88,27.37,28.6,70.8,501.1,1499,99.16
22:35:21,20200122,Andy,BNL17185,NO,17.5,977,1.29,28.93,29.41,29.23,1400.21,1377.64,27.34,28.5,70.6,501,1500,99.16
22:37:16,20200122,Andy,BNL17185,NO,18.4,1320,1.3,28.93,29.42,29.23,1799.86,1775.76,27.31,28.42,70.4,501,1499,99.17
21:53:32,20200122,Mariano,BNL17186,NO,-0.26,54.4,1.57,28.56,29.1,28.74,50.06,50.3,23.48,24.94,63.1,499.8,1000,99.18
21:52:10,20200122,Mariano,BNL17186,NO,0.2,68.3,1.58,28.55,29.09,28.74,74.91,74.56,23.42,24.82,62.8,499.8,1000,99.18
21:50:48,20200122,Mariano,BNL17186,NO,0.57,83.6,1.59,28.54,29.07,28.74,100.04,99.22,23.37,24.69,62.6,499.7,1000,99.18
21:49:26,20200122,Mariano,BNL17186,NO,1.31,112,1.61,28.54,29.09,28.73,150.12,148.35,23.32,24.58,62.3,499.7,1000,99.18
21:48:04,20200122,Mariano,BNL17186,NO,2.61,148,1.62,28.55,29.11,28.74,225.02,221.62,23.26,24.47,61.9,499.8,1000,99.18
21:46:42,20200122,Mariano,BNL17186,NO,3.81,183,1.64,28.65,29.15,28.85,300.17,295.25,23.2,24.35,61.3,499.8,1000,99.18
21:41:30,20200122,Mariano,BNL17186,YES,4.78,228,1.63,28.46,28.97,28.69,400.13,394,23.07,24.03,61.2,499.7,999,99.19
21:43:52,20200122,Mariano,BNL17186,YES,5.17,229,1.64,28.69,29.08,29.05,399.88,393.24,23.12,24.18,60.7,499.8,999,99.18
21:45:20,20200122,Mariano,BNL17186,NO,5.19,235,1.65,28.73,29.14,29.05,399.99,393.32,23.16,24.27,60.8,499.8,1001,99.18
21:55:17,20200122,Mariano,BNL17186,YES,6.98,246,1.56,28.57,29.11,28.74,399.91,390.91,23.55,25.1,63.5,499.8,1000,99.18
21:56:39,20200122,Mariano,BNL17186,YES,7.09,252,1.55,28.58,29.13,28.74,399.74,390.58,23.6,25.24,63.8,499.7,1000,99.18
21:58:01,20200122,Mariano,BNL17186,NO,7.33,252,1.54,28.59,29.14,28.73,399.76,390.28,23.66,25.36,64,499.7,999,99.18
22:11:56,20200122,Mariano,BNL17186,YES,4.73,288,1.51,28.55,29.06,28.74,389.63,383.33,23.92,25.52,64.6,499.6,999,99.18
21:59:39,20200122,Mariano,BNL17186,NO,8.91,302,1.53,28.59,29.14,28.74,475.02,463.5,23.72,25.46,64.3,499.7,999,99.18
22:01:25,20200122,Mariano,BNL17186,NO,10.7,371,1.52,28.59,29.14,28.73,574.65,560.85,23.78,25.54,64.5,499.7,999,99.18
