obs,Curve,time,elapsed,date,TIME,E,A,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,blfa_1,blfa_2,blfa_3,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Heatx_setpoint,CO2_r_setpoint,H2O_r_setpoint,SS_s,SS_r,MatchH2O,MatchCO2,MatchValveR,MatchValveS
11,c1,1499736130,759,20170711 09:22:09,1499736129,0.003661095,32.89613294,493.0634984,49.26048901,95.54225151,0.126036352,2.257725947,0.122253996,0.076739122,247.8186162,34.20756681,34.4111,5.466760342,49.77812596,2.59560353,5.214345618,2.871156813,-0.041392065,0.046466219,3.469042968,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.382146,32.89613294,#DIV/0!,#DIV/0!,0.026808456,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.86,1264.382146,0.843000111,0.195999775,1499736129,956.312,999.989,25.9802,21.701,499.997,99.807,0.099988,33.5637,34.4111,999.9,10001.2,0,486.384,1499.86,0.900005,0.0999953,0,1076.96,5.00027,16257.8,49.812,50.812,50.562,51.062,51.937,1078.01,-9.775042737,-134.0444445,16274.7,15,2,476.193,880.961,30.0001,34.4637,30.0005,34.2948,34.235,49.6789,37.7641,0,30,1000,21.6608,97.9821,99.2947,0.368,12.898,100,100
12,c1,1499736234,863,20170711 09:23:53,1499736233,0.003568242,36.05699779,624.5547948,62.39757912,115.080214,0.122079705,2.256013503,0.118524885,0.074388817,247.8464055,34.2613525,34.4527,5.4794206,49.6688712,2.593183717,5.220943529,2.886236884,-0.041345836,0.046414323,3.465977649,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.517445,36.05699779,#DIV/0!,#DIV/0!,0.029305248,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.02,1264.517445,0.84300039,0.19600078,1499736233,1151.87,1200.07,25.9559,21.7852,500.006,99.8073,0.0999934,33.5863,34.4527,999.9,9990,0,445.148,1500.02,0.899987,0.100013,0,1077.7,5.00027,16256.3,49.5,50.625,50.187,50.5,51.5,1079.262692,-12.34085471,-203.5316239,16278.91154,15,2,476.351,880.009,30.0001,34.5633,30.0002,34.394,34.3321,57.6179,38.3184,0,30,1200,21.7831,97.9661,99.2784,0.368,12.898,100,100
13,c1,1499736344,973,20170711 09:25:43,1499736343,0.00335979,38.2491931,845.7399516,84.49550449,144.688594,0.114504602,2.256011968,0.111371153,0.069881357,247.8362378,34.32006347,34.5001,5.493877052,49.8658909,2.602042876,5.218081597,2.891834176,-0.041345794,0.046414276,3.465974901,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.46673,38.2491931,#DIV/0!,#DIV/0!,0.031040115,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.96,1264.46673,0.8430003,0.1960006,1499736343,1448.23,1499.97,26.0446,22.1177,499.98,99.8072,0.0999929,33.5765,34.5001,999.9,9990,0,475.262,1499.96,0.89999,0.10001,0,1076.64,5.00027,16188.4,48.75,49.937,49.437,49.75,50.812,1078.462692,-12.91179488,-218.6461541,16215.32308,15,2,476.388,879.575,30.0001,34.6284,30.0003,34.4648,34.4047,68.9173,37.208,0,30,1500,22.2403,97.9566,99.2738,0.368,12.898,100,100
1,c2,1499737142,0,20170711 09:39:02,1499737142,0.008551364,6.871949929,341.0771487,34.07524637,38.73479167,0.369108963,2.259989896,0.338594458,0.214152528,247.8200536,32.26866153,32.8172,5.000447118,50.26900939,2.572938383,5.118339141,2.427508735,-0.041453232,0.046534884,3.473096934,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.38261,6.871949929,#DIV/0!,#DIV/0!,0.006225924,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.86,1264.38261,0.84300042,0.19600084,1499737142,387.717,399.942,25.7539,15.7565,499.998,99.8048,0.100006,33.232,32.8172,999.9,10016.2,0,927.496,1499.86,0.899986,0.100014,0,1090.86,5.00027,16224.6,46.687,48.375,47.375,48.187,48.875,1117.252692,-215.2892309,-3080.468378,16598.42692,15,2,417.375,857.005,29.9993,35.0215,30.0005,34.8738,34.8146,23.3234,58.3872,0,30,400,15.9299,97.8681,99.2113,0.07,23.846,100,100
2,c2,1499737213,70.5,20170711 09:40:12,1499737212,0.008492341,0.946989212,279.8044973,27.95453704,29.55510365,0.364570608,2.25611012,0.334722683,0.21167938,247.8217906,32.29310046,32.8077,4.997774999,49.97568926,2.558858045,5.12020561,2.438916954,-0.041348443,0.04641725,3.466150571,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.391085,0.946989212,#DIV/0!,#DIV/0!,0.001539863,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.87,1264.391085,0.84300045,0.1960009,1499737212,295.825,299.976,25.6123,15.6827,500.01,99.8074,0.09999,33.2385,32.8077,999.9,9990.62,0,914.302,1499.87,0.899985,0.100015,0,914.388,5.00027,13681.6,46.687,48.437,47.375,48.312,48.937,926.2885,-98.45863248,-1395.059829,13852.03462,15,2,420.958,855.154,30.0007,35.0943,30.0004,34.9377,34.8753,18.3659,58.9659,0,30,300,15.6852,97.8552,99.2046,0.07,23.846,100,100
3,c2,1499737284,141.5999999,20170711 09:41:23,1499737283,0.008403125,-5.292283111,221.1149401,22.09157288,20.40579902,0.357241563,2.258827726,0.328562634,0.207736138,247.8483825,32.3320658,32.8492,5.009457089,49.79679242,2.55089972,5.122618539,2.458557369,-0.041421825,0.046499628,3.471015676,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.533499,-5.292283111,#DIV/0!,#DIV/0!,-0.003394361,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.04,1264.533499,0.842999853,0.195999855,1499737283,204.242,199.951,25.532,15.7062,500.025,99.8099,0.100006,33.2469,32.8492,999.9,10008.1,0,916.398,1500.04,0.900002,0.0999979,0,830.058,5.00027,12465.3,46.687,48.437,47.375,48.375,48.937,835.3543846,-44.25176067,-628.9162393,12541.88462,15,2,422.581,853.89,30.0003,35.1571,30.0004,34.9991,34.9362,13.1784,58.9659,0,30,200,15.7822,97.8444,99.1946,0.07,23.846,100,100
4,c2,1499737357,214.5,20170711 09:42:36,1499737356,0.00821983,-11.36270226,163.3078433,16.31690627,11.23654295,0.345273652,2.2480669,0.318288857,0.201178973,247.8417734,32.3980655,32.9249,5.030827559,49.72115454,2.548382517,5.125348638,2.482445042,-0.041131726,0.046173965,3.451765232,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.49978,-11.36270226,#DIV/0!,#DIV/0!,-0.0081951,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500,1264.49978,0.842999853,0.195999855,1499737356,112.461,99.9352,25.5055,15.8934,500.006,99.815,0.100019,33.2564,32.9249,999.9,9937.5,0,905.72,1500,0.900002,0.0999979,0,797.41,5.00027,11982.9,46.687,48.5,47.375,48.375,48.937,799.3381923,-16.45692308,-233.7504274,12011.26154,15,2,423.929,853.039,30.0004,35.2231,30.0005,35.062,35.0003,7.79329,57.8097,0,30,100,16.0286,97.8301,99.1837,0.07,23.846,100,100
5,c2,1499737426,284,20170711 09:43:46,1499737426,0.007997719,-14.10449297,134.4008622,13.42855543,6.623782313,0.334439502,2.253817869,0.309114456,0.195311836,247.80692,32.45063714,32.9495,5.037789312,49.83216404,2.550879619,5.118942089,2.486909693,-0.041286609,0.046347835,3.462048775,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.315215,-14.10449297,#DIV/0!,#DIV/0!,-0.010364894,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.78,1264.315215,0.84300045,0.1960009,1499737426,66.2947,50.0051,25.5307,16.1782,499.986,99.8142,0.100006,33.2341,32.9495,999.9,9975,0,886.665,1499.78,0.899985,0.100015,0,790.145,5.00027,11860.7,46.687,48.5,47.375,48.312,48.937,790.6302308,-5.211282052,-87.76752134,11872.78462,15,2,429.409,852.728,29.9998,35.2603,30.0003,35.1056,35.0438,5.08465,56.6913,0,30,50,16.2715,97.8227,99.1753,0.07,23.846,100,100
6,c2,1499737493,350.5,20170711 09:44:52,1499737492,0.007745666,-15.54546733,118.1819006,11.80802563,3.826256334,0.319273875,2.253814801,0.296108293,0.187008757,247.8467303,32.55627206,33.0369,5.062591187,49.72473792,2.548566178,5.125348638,2.514025008,-0.041286526,0.046347742,3.462043286,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.525069,-15.54546733,#DIV/0!,#DIV/0!,-0.011502712,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.03,1264.525069,0.842999853,0.195999855,1499737492,38.2955,19.9959,25.5076,16.4494,499.973,99.814,0.0999934,33.2564,33.0369,999.9,9975,0,910.979,1500.03,0.900002,0.0999979,0,788.924,5.00027,11837.7,46.687,48.437,47.375,48.312,48.937,789.1840769,-1.155760688,-30.65641026,11840.88077,15,2,430.334,852.34,30.0004,35.2943,30.0004,35.1444,35.0855,3.47926,55.2902,0,30,20,16.5217,97.8152,99.1715,0.07,23.846,100,100
7,c2,1499737567,424.5999999,20170711 09:46:06,1499737566,0.007527033,5.650918852,343.0449635,34.27583666,38.93784218,0.306859953,2.261897758,0.285466855,0.180214429,247.8302075,32.67332563,33.1095,5.083273909,49.62012696,2.549358358,5.137750574,2.533915552,-0.041504822,0.046592798,3.476514545,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.44077,5.650918852,#DIV/0!,#DIV/0!,0.005259969,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.93,1264.44077,0.842999853,0.195999855,1499737566,389.704,400.003,25.5149,16.7147,500.101,99.8164,0.100055,33.2995,33.1095,999.9,10027.5,0,928.547,1499.93,0.900002,0.0999979,0,762.602,5.00027,11511.6,46.687,48.5,47.437,48.375,48.937,764.2575769,-14.7825983,-219.1179487,11537.65385,15,2,431.129,852.689,30.0022,35.3471,30.0004,35.1975,35.1406,23.4221,54.4405,0,30,400,16.8134,97.8054,99.1656,0.07,23.846,100,100
8,c2,1499737627,485.0999999,20170711 09:47:07,1499737627,0.007243102,5.984417486,339.0563457,33.87817168,38.90686067,0.290846368,2.25734309,0.271516406,0.171327301,247.8204082,32.79400605,33.1998,5.109101669,49.4701381,2.545716349,5.145965721,2.56338532,-0.041381726,0.046454613,3.468357563,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.39045,5.984417486,#DIV/0!,#DIV/0!,0.00552394,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.87,1264.39045,0.843000027,0.195999905,1499737627,389.384,399.949,25.4778,17.0081,500.034,99.819,0.100002,33.328,33.1998,999.9,9997.5,0,931.991,1499.87,0.900002,0.0999981,0,764.652,5.00027,11551.4,46.812,48.625,47.5,48.5,49,763.4386538,7.946837625,121.6410256,11537.53846,15,2,431.343,852.615,30.001,35.4035,30.0005,35.2518,35.1937,23.4361,53.5981,0,30,400,17.2424,97.7935,99.1557,0.07,23.846,100,100
9,c2,1499737706,563.5999999,20170711 09:48:25,1499737705,0.00675179,15.34429915,457.4227521,45.70588924,57.63181993,0.266638157,2.255640919,0.250283592,0.157812974,247.8202938,32.99845555,33.3202,5.14371623,49.47276119,2.552008374,5.158411038,2.591707857,-0.041335782,0.046403036,3.465310838,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.39019,15.34429915,#DIV/0!,#DIV/0!,0.012926626,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.87,1264.39019,0.842999853,0.195999855,1499737705,576.777,599.865,25.5404,17.6446,499.963,99.8205,0.0999544,33.3711,33.3202,999.9,9986.25,0,939.184,1499.87,0.900002,0.0999979,0,790.978,5.00027,11962.6,46.875,48.687,47.562,48.625,49.125,789.7298077,8.623076933,141.6239318,11945.74231,15,2,431.264,852.578,30.0008,35.4763,30.0005,35.3207,35.2636,32.8512,51.6042,0,30,600,17.8597,97.7779,99.1447,0.07,23.846,100,100
10,c2,1499737800,657.5999999,20170711 09:49:59,1499737799,0.006149331,21.84334213,584.6995312,58.42249528,76.73826387,0.238324758,2.256096471,0.225169579,0.141852382,247.8781378,33.22779862,33.4436,5.179404804,49.47055296,2.556273485,5.167262809,2.623131319,-0.041348075,0.046416836,3.466126142,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.677795,21.84334213,#DIV/0!,#DIV/0!,0.018062579,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.21,1264.677795,0.84300051,0.19600102,1499737799,768.006,799.887,25.5835,18.3927,499.973,99.8189,0.0999338,33.4017,33.4436,999.9,9989.38,0,945.97,1500.21,0.899983,0.100017,0,823.558,5.00027,12451.7,46.875,48.687,47.625,48.625,49.187,823.2011538,-0.480683761,-15.66153836,12450.42692,15,2,431.503,853.293,30.0008,35.5531,30.0003,35.3935,35.3321,41.6852,49.6062,0,30,800,18.465,97.7699,99.1365,0.07,23.846,100,100
11,c2,1499737904,761.5999999,20170711 09:51:43,1499737903,0.005485579,25.29764623,725.263279,72.46739721,96.23234359,0.210212178,2.259638403,0.199920731,0.125833104,247.8467303,33.41830322,33.5242,5.202831285,49.77036957,2.567791865,5.159278275,2.635039421,-0.041443732,0.046524219,3.472467422,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.525069,25.29764623,#DIV/0!,#DIV/0!,0.020796461,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.03,1264.525069,0.842999853,0.195999855,1499737903,963.106,999.808,25.6988,19.2844,499.932,99.8188,0.0999458,33.3741,33.5242,999.9,10012.5,0,882.06,1500.03,0.900002,0.0999979,0,831.669,5.00027,12573.3,46.875,48.625,47.562,48.5,49.125,832.1681154,-3.297811964,-63.16581204,12578.98462,15,2,430.775,854.427,29.9993,35.5703,30,35.4235,35.3629,50.0677,47.2622,0,30,1000,19.3707,97.7699,99.1358,0.07,23.846,100,100
12,c2,1499737998,855.5999999,20170711 09:53:17,1499737997,0.00484059,27.62745835,862.7376661,86.20189486,115.9003668,0.18175133,2.259131322,0.174001114,0.109419482,247.8467303,33.61238987,33.6019,5.225502074,49.55467875,2.554100492,5.154105639,2.671401583,-0.041430028,0.046508836,3.471559325,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.525069,27.62745835,#DIV/0!,#DIV/0!,0.022638901,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.03,1264.525069,0.842999853,0.195999855,1499737997,1159.97,1199.86,25.5623,19.9022,500.011,99.8167,0.0999934,33.3562,33.6019,999.9,10009.4,0,919.694,1500.03,0.900002,0.0999979,0,829.277,5.00027,12533.3,46.75,48.5,47.5,48.375,49,829.9001154,-6.944991452,-107.7846153,12544.73462,15,2,430.872,855.294,30.0014,35.5465,30,35.4202,35.3661,58.0667,46.1034,0,30,1200,19.9123,97.7704,99.1406,0.07,23.846,100,100
