File Name:,NGEEArctic_BNL_leaf_C_N_LMA_2012-2016,,,,,,,,,,,,
Contact:,"Alistair Rogers, arogers@bnl.gov, +1 631 344 2948",,,,,,,,,,,,
BNL51,20120710,CAAQ,474.7,37.2,-9999,-9999,-9999,12.76,,,,,
BNL52,20120710,CAAQ,473.6,33.2,-9999,-9999,-9999,14.27,,,,,
BNL53,20120710,CAAQ,482.9,34.9,-9999,-9999,-9999,13.84,,,,,
BNL54,20120710,CAAQ,473.8,40.6,68.04,32.24,2.76,11.67,,,,,
BNL55,20120710,CAAQ,473.6,40.1,-9999,-9999,-9999,11.81,,,,,
BNL56,20120710,CAAQ,475,38.2,-9999,-9999,-9999,12.43,,,,,
BNL57,20120711,CAAQ,464.1,33.3,57.45,26.66,1.91,13.94,,,,,
BNL59,20120711,PEFR5,441.8,38.2,43.17,19.07,1.65,11.57,,,,,
BNL60,20120711,CAAQ,470.4,47.4,58.12,27.34,2.75,9.92,,,,,
BNL61,20120711,PEFR5,454.9,36.7,94.67,43.06,3.47,12.4,,,,,
BNL62,20120711,PEFR5,442.9,36.5,82.67,36.61,3.02,12.13,,,,,
BNL68,20120711,PEFR5,452,37.3,110.83,50.1,4.13,12.12,,,,,
BNL69,20120711,PEFR5,445.1,26,102.5,45.62,2.67,17.12,,,,,
BNL64,20120712,PEFR5,452.9,41.8,95,43.03,3.97,10.83,,,,,
BNL65,20120712,CAAQ,517.8,39,52.31,27.08,2.04,13.28,,,,,
BNL66,20120712,PEFR5,455.2,42.3,108,49.16,4.57,10.76,,,,,
BNL67,20120712,CAAQ,446.1,39.7,149.17,66.54,5.92,11.24,,,,,
BNL88,20120712,CAAQ,466.2,34.6,62.86,29.3,2.17,13.47,,,,,
BNL70,20120713,PEFR5,445.3,28.5,87.5,38.96,2.49,15.62,,,,,
BNL71,20120713,PEFR5,453,39,68,30.8,2.65,11.62,,,,,
BNL72,20120713,PEFR5,437,35.9,73,31.9,2.62,12.17,,,,,
BNL73,20120713,PEFR5,445.6,45.3,75.67,33.72,3.43,9.84,,,,,
BNL74,20120713,PEFR5,449.4,35.9,71.67,32.21,2.57,12.52,,,,,
BNL75,20120713,PEFR5,440.6,37.1,71,31.28,2.63,11.88,,,,,
BNL76,20120713,PEFR5,452.5,35.2,63.33,28.66,2.23,12.86,,,,,
BNL77,20120713,PEFR5,444.4,32.4,88.83,39.48,2.88,13.72,,,,,
BNL78,20120714,PEFR5,446.7,32,93.33,41.69,2.99,13.96,,,,,
BNL79,20120714,PEFR5,435.3,29.3,74.5,32.43,2.18,14.86,,,,,
BNL80,20120714,PEFR5,444.9,34.9,84.17,37.45,2.94,12.75,,,,,
BNL81,20120714,PEFR5,435.3,30.5,98,42.66,2.99,14.27,,,,,
BNL82,20120714,PEFR5,433.9,30.1,89.17,38.69,2.68,14.42,,,,,
BNL83,20120714,PEFR5,447.3,36.5,73.67,32.95,2.69,12.25,,,,,
BNL84,20120715,CAAQ,476.2,39.6,55.17,26.27,2.18,12.03,,,,,
BNL85,20120715,PEFR5,445.6,37.7,64.67,28.82,2.44,11.82,,,,,
BNL87,20120715,CAAQ,472.1,40.9,57.7,27.24,2.36,11.54,,,,,
BNL90,20120715,CAAQ,477.8,42.3,86.27,41.22,3.65,11.3,,,,,
BNL89,20120716,CAAQ,472.8,39.7,54.22,25.63,2.15,11.91,,,,,
BNL91,20120716,CAAQ,471.3,38.1,58.95,27.78,2.25,12.37,,,,,
BNL92,20120716,CAAQ,462,33.2,67.14,31.02,2.23,13.92,,,,,
BNL93,20120716,CAAQ,472.3,36.7,59.61,28.15,2.19,12.87,,,,,
BNL94,20120716,CAAQ,470.7,35.1,51.44,24.21,1.81,13.41,,,,,
BNL95,20120716,CAAQ,477.5,35.9,65,31.04,2.33,13.3,,,,,
BNL96,20120716,CAAQ,481.1,43.3,58.33,28.06,2.53,11.11,,,,,
BNL97,20120716,CAAQ,472.3,34.5,53.33,25.19,1.84,13.69,,,,,
BNL100,20120717,PEFR5,445.6,32.7,145.2,64.7,4.75,13.63,,,,,
BNL101,20120717,PEFR5,447.3,35.9,161,72.02,5.78,12.46,,,,,
BNL102,20120717,PEFR5,456.8,41.9,151.89,69.38,6.36,10.9,,,,,
BNL103,20120717,PEFR5,450.9,30.5,183.53,82.75,5.6,14.78,,,,,
BNL104,20120717,PEFR5,455,30.7,168.46,76.65,5.17,14.82,,,,,
BNL105,20120717,PEFR5,440.1,34.6,116.44,51.24,4.03,12.72,,,,,
BNL106,20120717,PEFR5,448.2,38.8,134.89,60.46,5.23,11.55,,,,,
BNL107,20120717,PEFR5,449.7,32.3,138.28,62.18,4.47,13.92,,,,,
BNL108,20120717,PEFR5,439.9,25.7,160.06,70.41,4.11,17.12,,,,,
BNL109,20120717,PEFR5,451.7,34.7,-9999,-9999,-9999,13.02,,,,,
BNL110,20120717,PEFR5,455.1,33.3,92.83,42.25,3.09,13.67,,,,,
BNL111,20120717,PEFR5,450.7,30.6,151.52,68.29,4.64,14.73,,,,,
BNL112,20120717,PEFR5,449.7,31,156.36,70.31,4.85,14.51,,,,,
BNL113,20120717,PEFR5,446.8,37.8,113.09,50.53,4.27,11.82,,,,,
BNL114,20120717,PEFR5,456,41.8,-9999,-9999,-9999,10.91,,,,,
BNL115,20120717,CAAQ,474.3,40.4,-9999,-9999,-9999,11.74,,,,,
BNL116,20120717,ERAN6,476.4,37.1,69.21,32.97,2.57,12.84,,,,,
BNL117,20120717,ERAN6,472.6,35,71.35,33.72,2.5,13.5,,,,,
BNL118,20120717,ERAN6,473.9,33.4,70.67,33.49,2.36,14.19,,,,,
BNL119,20120717,CAAQ,473.8,39.1,122.67,58.12,4.8,12.12,,,,,
BNL120,20120717,CAAQ,468.1,35.8,84.93,39.76,3.04,13.08,,,,,
BNL121,20120717,CAAQ,471.7,38.5,84.07,39.65,3.24,12.25,,,,,
BNL122,20120717,CAAQ,477.4,40.2,84.66,40.42,3.4,11.88,,,,,
BNL123,20120717,CAAQ,475,44.2,93.46,44.39,4.13,10.75,,,,,
BNL124,20120717,CAAQ,464.5,40.2,-9999,-9999,-9999,11.55,,,,,
BNL125,20120717,CAAQ,467.7,40.7,-9999,-9999,-9999,11.49,,,,,
BNL126,20120717,CAAQ,458.4,34.4,-9999,-9999,-9999,13.33,,,,,
BNL127,20120717,CAAQ,467.8,38.4,-9999,-9999,-9999,12.18,,,,,
BNL128,20120717,CAAQ,472.1,39.9,94.2,44.47,3.76,11.83,,,,,
BNL129,20120717,CAAQ,470.6,47.2,-9999,-9999,-9999,9.97,,,,,
BNL130,20120717,CAAQ,470.1,39,-9999,-9999,-9999,12.05,,,,,
BNL131,20120717,CAAQ,472.9,37.3,-9999,-9999,-9999,12.68,,,,,
BNL132,20120717,CAAQ,473.8,41.3,-9999,-9999,-9999,11.47,,,,,
BNL133,20120717,ERAN6,473.1,34.6,73.87,34.95,2.56,13.67,,,,,
BNL134,20120717,ERAN6,474,33.3,66.99,31.75,2.23,14.23,,,,,
BNL138,20120717,ERAN6,470.8,29.5,75.96,35.76,2.24,15.96,,,,,
BNL139,20120717,ERAN6,578.5,40.7,55.29,31.99,2.25,14.21,,,,,
BNL141,20120717,ERAN6,470.6,30.4,-9999,-9999,-9999,15.48,,,,,
BNL142,20120717,ERAN6,476.5,37,-9999,-9999,-9999,12.88,,,,,
BNL143,20120717,ERAN6,491.3,35.5,70.77,34.77,2.51,13.84,,,,,
BNL144,20120717,ERAN6,457.2,34,58.33,26.67,1.98,13.45,,,,,
BNL145,20120717,ERAN6,472.8,34.3,-9999,-9999,-9999,13.78,,,,,
BNL146,20120717,ERAN6,479.3,36,-9999,-9999,-9999,13.31,,,,,
BNL147,20120717,ERAN6,475.7,30.2,-9999,-9999,-9999,15.75,,,,,
BNL148,20120717,ERAN6,473.1,33.5,-9999,-9999,-9999,14.12,,,,,
BNL149,20120717,ERAN6,474.2,38,-9999,-9999,-9999,12.48,,,,,
BNL98,20120717,ERAN6,477.2,34.1,61.74,29.46,2.11,13.99,,,,,
BNL99,20120717,ERAN6,461.9,38.7,75.65,34.94,2.93,11.94,,,,,
BNL135,20120718,ERAN6,471.5,32.2,71.67,33.79,2.31,14.64,,,,,
BNL136,20120718,ERAN6,474.7,29.5,62.22,29.54,1.84,16.09,,,,,
BNL137,20120718,ERAN6,466.7,31,72,33.6,2.23,15.05,,,,,
BNL151,20120719,ERAN6,460.4,33.8,78.75,36.26,2.66,13.62,,,,,
BNL152,20120719,ERAN6,469.7,29.8,61.71,28.99,1.84,15.76,,,,,
BNL153,20120719,ERAN6,465.3,30,50,23.27,1.5,15.51,,,,,
BNL154,20120719,ERAN6,467.8,31.7,70.98,33.2,2.25,14.76,,,,,
BNL155,20120719,ERAN6,460.1,31.4,41.67,19.17,1.31,14.65,,,,,
BNL156,20120719,ERAN6,461.6,32.1,51.43,23.74,1.65,14.38,,,,,
BNL157,20120719,PEFR5,442.4,26.7,84.17,37.24,2.25,16.57,,,,,
BNL158,20120719,ERAN6,468.6,28.8,68.25,31.98,1.97,16.27,,,,,
BNL159,20120719,DUFI,452.6,13.9,67.22,30.42,0.93,32.56,,,,,
BNL160,20120719,ERAN6,484.3,34,78.93,38.23,2.68,14.24,,,,,
BNL161,20120719,DUFI,456.6,16.1,72.22,32.98,1.16,28.36,,,,,
BNL162,20120720,DUFI,451.7,15.7,80,36.14,1.26,28.77,,,,,
BNL163,20120720,DUFI,452.6,15,76.44,34.6,1.15,30.17,,,,,
BNL164,20120720,DUFI,450.3,18.3,65.4,29.45,1.2,24.61,,,,,
BNL165,20120720,DUFI,453.5,13.3,61.75,28.01,0.82,34.1,,,,,
BNL166,20120720,DUFI,459,15.7,71.11,32.64,1.12,29.24,,,,,
BNL167,20120720,DUFI,452.1,13.6,68,30.74,0.92,33.24,,,,,
BNL168,20120720,DUFI,451.7,15.4,75.79,34.23,1.17,29.33,,,,,
BNL169,20120720,DUFI,452.8,13.6,103.33,46.79,1.41,33.29,,,,,
BNL170,20120721,PEFR5,440.1,26.8,167.58,73.75,4.49,16.42,,,,,
BNL171,20120721,PEFR5,446.2,30.7,143.85,64.19,4.42,14.53,,,,,
BNL172,20120721,PEFR5,441.6,24.6,131.42,58.03,3.23,17.95,,,,,
BNL173,20120721,PEFR5,441.8,26,109.47,48.36,2.85,16.99,,,,,
BNL174,20120721,PEFR5,437.4,28.9,131.48,57.51,3.8,15.13,,,,,
BNL175,20120721,PEFR5,444.4,27.5,137.45,61.08,3.78,16.16,,,,,
BNL176,20120721,PEFR5,446.5,30.4,97.83,43.68,2.97,14.69,,,,,
BNL177,20120721,PEFR5,439.1,22.8,165.34,72.6,3.77,19.26,,,,,
BNL178,20120721,PEFR5,430.8,27.1,150.03,64.63,4.07,15.9,,,,,
BNL179,20120721,PEFR5,454.8,33.4,155.51,70.73,5.19,13.62,,,,,
BNL180,20120721,CAAQ,463.3,33,84.86,39.32,2.8,14.04,,,,,
BNL181,20120721,CAAQ,468,33.2,80.62,37.73,2.68,14.1,,,,,
BNL182,20120721,CAAQ,461.2,32.9,79.57,36.7,2.62,14.02,,,,,
BNL183,20120721,CAAQ,466.9,29.2,90.26,42.14,2.64,15.99,,,,,
BNL184,20120721,CAAQ,468.7,32.7,103.34,48.44,3.38,14.33,,,,,
BNL185,20120721,CAAQ,469,32.6,99.99,46.9,3.26,14.39,,,,,
BNL186,20120721,CAAQ,463.6,35,86.3,40.01,3.02,13.25,,,,,
BNL187,20120721,CAAQ,471.7,35.4,87.22,41.14,3.09,13.32,,,,,
BNL188,20120721,CAAQ,465.7,31.2,83.49,38.88,2.6,14.93,,,,,
BNL189,20120721,CAAQ,468.8,34.6,82.69,38.77,2.86,13.55,,,,,
BNL190,20120721,ERAN6,308.7,21.4,114.94,35.48,2.46,14.43,,,,,
BNL191,20120721,ERAN6,467.6,32.2,73.76,34.49,2.38,14.52,,,,,
BNL192,20120721,ERAN6,468.7,32.5,67.5,31.64,2.19,14.42,,,,,
BNL193,20120721,ERAN6,463.2,28.5,73.77,34.17,2.1,16.25,,,,,
BNL194,20120721,ERAN6,464.5,30,78.57,36.5,2.36,15.48,,,,,
BNL195,20120721,ERAN6,468.4,31.9,71.67,33.57,2.29,14.68,,,,,
BNL196,20120721,ERAN6,472.6,29.4,76.66,36.23,2.25,16.07,,,,,
BNL197,20120721,ERAN6,464,29.3,76.17,35.34,2.23,15.84,,,,,
BNL198,20120721,ERAN6,460.7,20.6,68.8,31.7,1.42,22.36,,,,,
BNL199,20120721,ERAN6,460.8,23.1,76.75,35.37,1.77,19.95,,,,,
BNL200,20120721,DUFI,450.1,14.8,186.87,84.11,2.77,30.41,,,,,
BNL201,20120721,DUFI,454.7,16.7,205.24,93.32,3.43,27.23,,,,,
BNL202,20120721,DUFI,452.5,14.3,146.4,66.25,2.09,31.64,,,,,
BNL203,20120721,DUFI,460.8,19.2,166.61,76.77,3.2,24,,,,,
BNL204,20120721,DUFI,461.1,23,169.18,78.01,3.89,20.05,,,,,
BNL205,20120721,DUFI,459.9,20,160,73.58,3.2,23,,,,,
BNL206,20120721,DUFI,454.5,19.2,175.48,79.76,3.37,23.67,,,,,
BNL207,20120721,DUFI,466.5,22.9,212.35,99.06,4.86,20.37,,,,,
BNL208,20120721,DUFI,456.4,20,192.9,88.04,3.86,22.82,,,,,
BNL209,20120721,DUFI,458.4,19.5,183.49,84.11,3.58,23.51,,,,,
BNL210,20120721,DUFI,450.9,10.4,86,38.78,0.89,43.36,,,,,
BNL211,20120721,DUFI,450.7,15.6,82.42,37.15,1.29,28.89,,,,,
BNL212,20120721,DUFI,452.9,18.4,78.52,35.56,1.44,24.61,,,,,
BNL213,20120722,DUFI,453.4,13.3,-9999,-9999,-9999,34.09,,,,,
BNL214,20120722,DUFI,457.9,15.2,244.54,111.98,3.72,30.13,,,,,
BNL215,20120722,DUFI,449.9,14.9,-9999,-9999,-9999,30.19,,,,,
BNL216,20120722,DUFI,455.9,18.5,188.76,86.06,3.49,24.64,,,,,
BNL217,20120722,DUFI,468.6,14.9,-9999,-9999,-9999,31.45,,,,,
BNL218,20120722,DUFI,462.8,19.3,-9999,-9999,-9999,23.98,,,,,
BNL219,20120722,DUFI,460.6,13.1,-9999,-9999,-9999,35.16,,,,,
BNL220,20120722,DUFI,460.5,15.4,-9999,-9999,-9999,29.9,,,,,
BNL221,20120722,DUFI,451.4,17.1,-9999,-9999,-9999,26.4,,,,,
BNL222,20120722,DUFI,450.8,12.5,-9999,-9999,-9999,36.06,,,,,
BNL223,20120722,DUFI,468.6,18,215.14,100.82,3.87,26.03,,,,,
BNL224,20120722,DUFI,452.1,14.4,190.28,86.02,2.74,31.4,,,,,
BNL225,20120722,CAAQ,475.3,32.9,118.29,56.22,3.89,14.45,A,2,C,,
BNL226,20120722,CAAQ,467,32,118.29,55.24,3.79,14.59,A,2,C,,
BNL227,20120722,LUAR9,469.9,16.2,156.18,73.39,2.53,29.01,A,2,E,,
BNL228,20120722,CAAQ,467.4,29.3,143.23,66.95,4.2,15.95,A,2,E,,
BNL229,20120722,PEFR5,446.2,32.1,85.48,38.14,2.74,13.9,A,2,E,,
BNL230,20120722,DUFI,457.6,19.8,141.95,64.96,2.81,23.11,A,2,T,,
BNL231,20120722,CAAQ,472.1,35.9,106.31,50.19,3.82,13.15,A,2,T,,
BNL232,20120722,ERAN6,475.3,29.5,132,62.74,3.89,16.11,A,3,E,,
BNL233,20120722,PEFR5,445,22.8,85.48,38.04,1.95,19.52,A,3,E,,
BNL234,20120722,CAAQ,473.2,27,143.23,67.78,3.87,17.53,A,3,E,,
BNL235,20120722,CAAQ,475.8,32.9,106.31,50.58,3.5,14.46,A,3,T,,
BNL236,20120722,DUFI,457.3,16.8,141.95,64.91,2.38,27.22,A,3,T,,
BNL237,20120722,LUAR9,465.2,19.4,142.14,66.12,2.76,23.98,C,2,E,,
BNL238,20120722,CAAQ,463.1,33,94.16,43.61,3.11,14.03,D,2,T,,
BNL239,20120722,PEFR5,447.4,33.2,73.92,33.07,2.45,13.48,D,2,E,,
BNL240,20120722,PEFR5,444.2,30.6,73.92,32.84,2.26,14.52,D,3,E,,
BNL241,20120722,CAAQ,470.7,34.8,94.16,44.32,3.28,13.53,D,3,T,,
BNL242,20120722,CAAQ,463.5,36.7,145.83,67.59,5.35,12.63,C,2,C,,
BNL243,20120722,CAAQ,472.9,31.8,118.29,55.94,3.76,14.87,A,4,C,,
BNL244,20120722,LUAR9,463.4,18.2,156.18,72.38,2.84,25.46,A,4,E,,
BNL245,20120722,CAAQ,478.9,28.7,143.23,68.59,4.11,16.69,A,4,E,,
BNL246,20120722,ERAN6,472.7,28.7,132,62.4,3.79,16.47,A,4,E,,
BNL247,20120722,CAAQ,480.6,31.1,118.29,56.85,3.68,15.45,A,1,C,,
BNL248,20120722,DUFI,452.8,19.1,141.95,64.27,2.71,23.71,A,4,T,,
BNL249,20120722,CAAQ,468.8,27.4,106.31,49.84,2.91,17.11,A,4,T,,
BNL250,20120722,PEFR5,452.3,28.5,73.55,33.27,2.1,15.87,A,4,T,,
BNL251,20120722,DUFI,465.9,18.2,162.02,75.49,2.95,25.6,A,4,E,,
BNL252,20120722,LUAR9,462.2,17.7,156.18,72.19,2.76,26.11,A,1,E,,
BNL253,20120722,CAAQ,469.1,27.7,143.23,67.19,3.97,16.94,A,1,E,,
BNL254,20120722,CAAQ,479.2,34.5,106.31,50.94,3.67,13.89,A,1,T,,
BNL255,20120722,DUFI,463,24.7,162.02,75.02,4,18.74,A,2,E,,
BNL256,20120722,PEFR5,445.8,31.3,73.55,32.79,2.3,14.24,A,1,T,,
BNL257,20120722,CAAQ,464.5,33.1,113.84,52.88,3.77,14.03,D,4,C,,
BNL258,20120722,CAAQ,465,30.2,125.38,58.3,3.79,15.4,D,2,E,,
BNL259,20120722,CAAQ,465.3,31.8,113.84,52.97,3.62,14.63,D,1,C,,
BNL260,20120722,CAAQ,472.2,38.5,94.16,44.46,3.63,12.26,D,4,T,,
BNL261,20120722,CAAQ,470.6,34.2,125.38,59,4.29,13.76,D,4,E,,
BNL262,20120722,DUFI,459.6,19.3,164.42,75.57,3.17,23.81,D,4,E,,
BNL263,20120722,DUFI,466.4,26.1,131.49,61.33,3.43,17.87,D,4,C,,
BNL264,20120722,DUFI,457.9,17,164.42,75.29,2.8,26.94,D,1,E,,
BNL265,20120722,DUFI,457.5,19.3,120.3,55.04,2.32,23.7,D,4,T,,
BNL266,20120722,DUFI,455.7,19.5,131.49,59.92,2.56,23.37,D,1,C,,
BNL267,20120722,PEFR5,440.9,28.4,73.92,32.59,2.1,15.52,D,4,E,,
BNL268,20120722,CAAQ,470,38.1,94.16,44.25,3.59,12.34,D,1,T,,
BNL269,20120722,PEFR5,446.8,25.9,73.54,32.86,1.9,17.25,C,2,T,,
BNL270,20120722,CAAQ,476.8,35.4,125.38,59.78,4.44,13.47,D,1,E,,
BNL271,20120722,PEFR5,451.9,30.7,73.92,33.41,2.27,14.72,D,1,E,,
BNL272,20120722,ERAN6,476.5,29.5,132.78,63.27,3.92,16.15,D,1,E,,
BNL273,20120722,PEFR5,462.1,32.8,73.55,33.99,2.41,14.09,D,1,T,,
BNL274,20120722,PEFR5,440,26,73.55,32.36,1.91,16.92,D,3,T,,
BNL275,20120722,DUFI,456.7,15.1,164.42,75.09,2.48,30.25,D,2,E,,
BNL276,20120722,DUFI,461.3,21,120.3,55.5,2.53,21.97,D,1,T,,
BNL277,20120722,DUFI,461.9,21.9,120.3,55.57,2.63,21.09,D,2,T,,
BNL278,20120722,LUAR9,466.6,22.6,142.14,66.32,3.21,20.65,C,4,E,,
BNL279,20120722,DUFI,456.7,20.5,120.3,54.94,2.47,22.28,D,3,T,,
BNL280,20120722,DUFI,464.8,26,161.09,74.87,4.19,17.88,C,2,C,,
BNL281,20120722,LUAR9,465.2,20.3,142.14,66.12,2.89,22.92,C,3,E,,
BNL282,20120722,CAAQ,492.9,26.9,102.76,50.65,2.76,18.32,C,2,T,,
BNL283,20120722,DUFI,466.2,27.6,161.09,75.1,4.45,16.89,C,3,C,,
BNL284,20120722,ERAN6,471.2,29.4,154.86,72.97,4.55,16.03,C,4,E,,
BNL285,20120722,CAAQ,461.9,17.2,153.01,70.68,2.63,26.85,C,3,E,,
BNL286,20120722,DUFI,462.1,23.1,161.09,74.44,3.72,20,C,4,C,,
BNL287,20120722,LUAR9,465.5,20.4,133.38,62.09,2.72,22.82,B,3,C,,
BNL288,20120722,CAAQ,463.6,30.7,125.38,58.12,3.85,15.1,D,3,E,,
BNL289,20120722,CAAQ,473,30.5,113.84,53.84,3.47,15.51,D,3,C,,
BNL290,20120722,CAAQ,475.9,28.7,113.84,54.17,3.27,16.58,D,2,C,,
BNL291,20120722,LUAR9,461.5,20.3,133.97,61.83,2.72,22.73,C,1,C,,
BNL292,20120722,DUFI,461.4,16.7,161.09,74.33,2.69,27.63,C,1,C,,
BNL293,20120722,LUAR9,461.8,19.5,142.14,65.64,2.77,23.68,C,1,E,,
BNL294,20120722,LUAR9,470.4,21.1,133.97,63.02,2.83,22.29,C,2,C,,
BNL295,20120722,PEFR5,446.8,32.1,83.95,37.51,2.69,13.92,C,2,E,,
BNL296,20120722,PEFR5,459.9,38.3,84.05,38.65,3.22,12.01,C,2,C,,
BNL297,20120722,CAAQ,471,32.4,153.01,72.07,4.96,14.54,C,2,E,,
BNL298,20120722,CAAQ,474.3,29.2,118.29,56.11,3.45,16.24,A,3,C,,
BNL322,20120722,CAAQ,468.8,29.3,121.3,56.86,3.55,16,B,1,T,,
BNL328,20120722,LUAR9,467.2,20.4,172.46,80.57,3.52,22.9,B,4,E,,
BNL329,20120722,LUAR9,466.7,16.5,133.38,62.25,2.2,28.28,B,4,C,,
BNL330,20120722,LUAR9,450.3,16.2,172.46,77.66,2.79,27.8,B,3,E,,
BNL331,20120722,LUAR9,465.8,21.4,133.38,62.13,2.85,21.77,B,2,C,,
BNL332,20120722,LUAR9,458.2,18.6,123.55,56.61,2.3,24.63,B,3,T,,
BNL333,20120722,LUAR9,466.9,20.7,172.46,80.52,3.57,22.56,B,2,E,,
BNL334,20120722,LUAR9,464,19.9,172.46,80.02,3.43,23.32,B,1,E,,
BNL336,20120722,DUFI,457.9,21.6,161.77,74.07,3.49,21.2,B,1,E,,
BNL340,20120722,LUAR9,469.4,21.7,133.38,62.61,2.89,21.63,B,1,C,,
BNL341,20120722,ERAN6,472.5,27.9,161.38,76.25,4.5,16.94,B,4,E,,
BNL342,20120722,PEFR5,454.1,28.3,73.54,33.4,2.08,16.05,C,1,T,,
BNL344,20120722,DUFI,453.6,19.7,139.22,63.15,2.74,23.03,B,2,T,,
BNL345,20120722,PEFR5,450.6,34.8,84.05,37.87,2.92,12.95,C,3,C,,
BNL346,20120722,DUFI,480.3,18.3,123.68,59.4,2.26,26.25,C,2,T,,
BNL347,20120722,PEFR5,452.3,29.2,73.54,33.26,2.15,15.49,C,3,T,,
BNL348,20120722,PEFR5,453.8,28.4,73.56,33.38,2.09,15.98,B,3,T,,
