record,time,date,SampleID,Remove,A,gsw,Ci,VPDleaf,Tair,Tleaf,CO2r,CO2s,H2Or,H2Os,RHs,flow,Qin,Patm
14,13:08:13,20230906,BNL19782,NO,6.7,34.7,452,2.63,30.43,35.46,800.17,791.23,30.603,31.705,72.4,500,1800,99.75
15,13:10:35,20230906,BNL19782,NO,7.27,30.7,573,2.64,30.41,35.43,999.84,990.11,30.556,31.535,72.1,500,1800,99.75
16,13:12:57,20230906,BNL19782,NO,8.67,26,802,2.67,30.39,35.46,1400.18,1388.57,30.506,31.344,71.74,500,1799,99.74
17,13:15:19,20230906,BNL19782,NO,8.84,22,1080,2.69,30.42,35.49,1800.18,1788.25,30.508,31.224,71.34,500,1799,99.74
18,13:17:40,20230906,BNL19782,YES,0.94,20.2,341,2.7,30.4,35.52,434.93,433.51,30.571,31.23,71.47,500,1800,99.74
1,09:49:29,20230907,BNL19789,YES,6,48,214,2.06,30.29,31.71,435.08,427.36,25.108,26.289,60.74,499.7,1700,100.1
2,09:52:08,20230907,BNL19789,YES,5.92,47.1,213,2.02,29.81,31.63,435.09,427.48,25.411,26.546,63.07,499.7,1699,100.1
3,09:53:30,20230907,BNL19789,NO,5.91,46.1,209,1.93,29.46,31.38,435.03,427.47,25.681,26.744,64.81,499.7,1700,100.1
4,09:54:54,20230907,BNL19789,NO,3.65,46.2,160,1.9,29.5,31.32,299.96,295.26,25.915,26.959,65.17,499.7,1699,100.1
5,09:56:16,20230907,BNL19789,NO,2.79,46.3,143,1.86,29.48,31.24,250.13,246.52,26.126,27.151,65.71,499.7,1699,100.1
6,09:57:38,20230907,BNL19789,NO,1.59,47.5,114,1.84,29.55,31.26,174.96,172.87,26.3,27.343,65.92,499.7,1700,100.1
7,09:59:00,20230907,BNL19789,NO,0.744,48.9,95.9,1.85,29.71,31.38,125.02,123.99,26.462,27.541,65.81,499.7,1699,100.1
8,10:00:22,20230907,BNL19789,NO,-0.0641,49.7,69.8,1.85,29.67,31.48,69.89,69.89,26.754,27.847,66.66,499.7,1699,100.1
9,10:01:44,20230907,BNL19789,NO,-0.323,51.7,59,1.8,29.59,31.48,50.18,50.51,27.222,28.329,68.14,499.7,1699,100.1
10,10:03:34,20230907,BNL19789,YES,6.77,56.2,221,1.74,29.61,31.5,434.95,426.31,27.838,28.997,69.68,499.7,1699,100.1
11,10:04:56,20230907,BNL19789,YES,6.83,61.6,236,1.72,29.64,31.57,434.99,426.23,28.078,29.336,70.34,499.7,1699,100.1
12,10:06:27,20230907,BNL19789,NO,7.64,62.7,257,1.69,29.4,31.53,474.96,465.19,28.363,29.615,72.01,499.7,1699,100.1
13,10:08:18,20230907,BNL19789,NO,10.4,61.5,372,1.62,29.31,31.52,674.98,661.68,29.1,30.278,74.02,499.7,1700,100.1
14,10:09:50,20230907,BNL19789,NO,11.5,63.7,476,1.55,29.21,31.38,800.1,785.4,29.377,30.545,75.09,499.7,1699,100.1
15,10:11:43,20230907,BNL19789,NO,12.5,65.2,651,1.52,29.29,31.25,1000.31,984.14,29.359,30.53,74.72,499.7,1701,100.1
16,10:13:22,20230907,BNL19789,NO,13.5,64.1,1010,1.54,29.5,31.27,1400.06,1382.18,29.213,30.381,73.45,499.7,1701,100.1
17,10:15:37,20230907,BNL19789,NO,13.9,58.9,1360,1.59,29.53,31.35,1800.11,1781.35,28.972,30.083,72.61,499.7,1701,100.1
18,10:17:14,20230907,BNL19789,YES,5.09,53.9,265,1.62,29.53,31.38,434.97,428.39,28.852,29.888,72.13,499.7,1701,100.1
1,12:09:54,20230907,BNL19790,YES,15.9,280,306,1.56,32.43,33.47,435.04,413.83,31.461,36.284,74.06,499.7,1999,99.87
2,12:16:10,20230907,BNL19790,NO,15.6,289,311,1.58,32.67,33.6,435.01,414.08,31.485,36.506,73.54,499.7,1999,99.88
3,12:17:32,20230907,BNL19790,NO,15.5,290,312,1.58,32.65,33.6,434.96,414.22,31.491,36.515,73.64,499.7,2000,99.87
4,12:19:06,20230907,BNL19790,NO,10,290,220,1.58,32.66,33.62,299.87,286.37,31.505,36.543,73.65,499.7,1999,99.87
5,12:20:28,20230907,BNL19790,NO,7.82,293,187,1.58,32.66,33.64,250.08,239.42,31.521,36.61,73.76,499.7,1999,99.87
6,12:21:50,20230907,BNL19790,NO,4.5,301,139,1.57,32.67,33.64,175.06,168.75,31.528,36.704,73.91,499.7,1999,99.86
7,12:23:12,20230907,BNL19790,NO,2.23,310,106,1.56,32.67,33.64,125.04,121.7,31.524,36.81,74.1,499.7,2000,99.86
8,12:24:34,20230907,BNL19790,NO,-0.276,321,69.7,1.54,32.59,33.6,70.05,69.99,31.52,36.904,74.63,499.7,2000,99.86
9,12:25:56,20230907,BNL19790,NO,-1.02,333,55,1.52,32.59,33.59,49.95,50.89,31.531,37.031,74.92,499.7,1999,99.85
10,12:28:02,20230907,BNL19790,YES,15.4,349,327,1.49,32.58,33.53,435.11,414.21,31.546,37.178,75.23,499.7,1999,99.85
11,12:29:24,20230907,BNL19790,NO,15.6,358,328,1.48,32.58,33.52,435.12,413.95,31.539,37.254,75.4,499.7,1999,99.84
12,12:30:59,20230907,BNL19790,NO,17.2,366,359,1.47,32.57,33.5,475.07,451.75,31.506,37.292,75.48,499.7,1999,99.83
13,12:32:54,20230907,BNL19790,NO,22.6,366,520,1.47,32.55,33.45,674.96,643.99,31.45,37.211,75.39,499.7,2000,99.81
14,12:34:25,20230907,BNL19790,NO,24.9,360,626,1.48,32.55,33.44,800.11,765.65,31.395,37.109,75.21,499.7,2000,99.81
15,12:36:15,20230907,BNL19790,NO,27.3,349,802,1.49,32.55,33.45,1000.19,961.78,31.34,36.961,74.91,499.7,1999,99.81
16,12:37:55,20230907,BNL19790,NO,29.8,340,1170,1.51,32.55,33.46,1400.08,1356.47,31.297,36.843,74.66,499.7,1999,99.81
17,12:40:04,20230907,BNL19790,NO,30.7,326,1550,1.53,32.55,33.48,1800.4,1753.71,31.262,36.68,74.31,499.7,1999,99.8
18,12:41:42,20230907,BNL19790,YES,13.8,316,330,1.55,32.56,33.51,434.82,415.9,31.288,36.62,74.15,499.5,2000,99.79
1,10:00:30,20230907,BNL19788,YES,10.8,115,251,2.29,32.73,34.38,433.81,419.47,28.569,31.655,63.56,500.1,1699,99.94
2,10:01:46,20230907,BNL19788,YES,10.7,109,246,2.32,32.73,34.52,434.93,420.84,28.812,31.769,63.8,500.1,1700,99.94
3,10:02:47,20230907,BNL19788,NO,10.5,111,252,2.15,32.74,33.95,434.91,421.04,28.99,31.788,63.79,500.1,1701,99.94
4,10:03:48,20230907,BNL19788,NO,6.17,105,186,2.16,32.75,34,300.14,291.94,29.167,31.827,63.84,500.1,1700,99.94
5,10:05:10,20230907,BNL19788,NO,4.57,93.1,155,2.36,32.76,34.72,250.02,243.89,29.396,31.985,64.12,500.1,1700,99.94
6,10:06:32,20230907,BNL19788,NO,1.81,90.6,110,2.37,32.77,34.78,149.94,147.39,29.576,32.107,64.35,500.1,1700,99.94
7,10:07:54,20230907,BNL19788,NO,0.233,98.9,92.3,2.16,32.77,34.11,100.15,99.61,29.685,32.19,64.5,500.1,1700,99.94
8,10:09:16,20230907,BNL19788,NO,-1.07,104,66.2,2.13,32.77,34.08,50.08,51.23,29.769,32.363,64.84,500.1,1700,99.93
9,10:11:13,20230907,BNL19788,YES,10.4,104,243,2.28,32.77,34.66,434.3,420.58,29.837,32.629,65.39,500.1,1700,99.93
10,10:12:40,20230907,BNL19788,YES,10.7,108,244,2.27,32.77,34.66,434.63,420.57,29.854,32.715,65.57,500.1,1700,99.93
11,10:13:41,20230907,BNL19788,NO,11.8,107,263,2.27,32.76,34.64,474.81,459.31,29.858,32.698,65.54,500.1,1700,99.93
12,10:15:13,20230907,BNL19788,NO,13.9,103,317,2.29,32.77,34.69,574.84,556.6,29.885,32.64,65.4,500.1,1699,99.93
13,10:16:38,20230907,BNL19788,NO,15.7,104,387,2.13,32.79,34.12,674.95,654.41,29.91,32.496,65.03,500.1,1699,99.93
14,10:18:09,20230907,BNL19788,NO,16.6,82.3,423,2.38,32.81,34.88,800.22,778.39,29.991,32.308,64.6,500.1,1700,99.92
15,10:20:09,20230907,BNL19788,NO,17.4,69.2,539,2.26,32.83,34.37,1000.34,977.64,30.139,31.992,63.88,500.1,1700,99.92
16,10:22:13,20230907,BNL19788,NO,19.4,48.4,681,2.53,32.84,35.16,1400.21,1374.87,30.29,31.752,63.36,500.1,1699,99.92
17,10:24:35,20230907,BNL19788,NO,19.5,36.6,853,2.61,32.86,35.37,1799.97,1774.42,30.442,31.589,62.97,500.1,1699,99.92
18,10:26:15,20230907,BNL19788,YES,3.66,35,248,2.4,32.87,34.7,434.76,429.93,30.593,31.602,62.96,500.1,1699,99.92
1,12:52:28,20230907,BNL19791,YES,9.45,103,259,2.15,31.97,34.94,434.78,422.3,32.305,34.913,72.99,500.1,1801,99.64
2,12:54:50,20230907,BNL19791,YES,8.96,102,265,2.27,32.41,35.35,434.61,422.67,32.257,34.982,71.31,500,1801,99.64
3,12:55:51,20230907,BNL19791,NO,9.1,99.4,259,2.23,31.96,35.19,434.98,422.91,32.239,34.853,72.89,500,1800,99.64
4,12:56:52,20230907,BNL19791,NO,5.38,99.6,195,2.19,31.72,35.04,300.02,292.78,32.212,34.786,73.73,500.1,1800,99.64
5,12:58:14,20230907,BNL19791,NO,4.14,103,171,2.15,31.66,34.91,250.06,244.44,32.166,34.77,73.94,500,1801,99.64
6,12:59:36,20230907,BNL19791,NO,1.55,109,119,2.12,31.79,34.83,149.97,147.7,32.134,34.845,73.57,500,1801,99.64
7,13:00:58,20230907,BNL19791,NO,0.148,116,94,2.11,31.91,34.84,100.03,99.55,32.106,34.979,73.35,500,1801,99.65
8,13:02:20,20230907,BNL19791,NO,-1.31,125,66.8,2.11,31.99,34.89,50,51.41,32.109,35.175,73.46,500.1,1800,99.64
9,13:04:18,20230907,BNL19791,YES,10,137,287,2.08,32.01,34.88,434.59,421.09,32.113,35.425,73.89,500,1800,99.64
10,13:05:45,20230907,BNL19791,YES,10.2,144,290,2.07,32.02,34.9,434.28,420.48,32.142,35.603,74.22,500.1,1800,99.64
11,13:07:07,20230907,BNL19791,NO,11.4,147,318,2.06,32.02,34.89,475.71,460.34,32.151,35.665,74.33,500,1800,99.64
12,13:09:08,20230907,BNL19791,NO,13.3,140,382,2.09,32.03,34.92,574.94,557.02,32.137,35.516,73.99,500.1,1799,99.64
13,13:11:10,20230907,BNL19791,NO,14.3,119,436,2.15,32.03,35,674.73,655.53,32.083,35.075,73.06,500,1800,99.63
14,13:12:38,20230907,BNL19791,NO,15.4,103,509,2.2,32.03,35.04,800.11,779.45,32.04,34.709,72.31,500.1,1800,99.63
15,13:14:34,20230907,BNL19791,NO,16.3,85.3,634,2.26,32.03,35.1,1000.45,978.54,31.997,34.282,71.4,500,1800,99.62
16,13:16:37,20230907,BNL19791,NO,18.2,68.5,896,2.32,31.83,35.14,1400.15,1375.57,31.981,33.871,71.33,500.1,1800,99.61
17,13:18:35,20230907,BNL19791,NO,19.2,56.2,1160,2.35,31.78,35.13,1800.07,1774.17,31.954,33.534,70.83,500.1,1800,99.6
18,13:20:11,20230907,BNL19791,YES,4.61,49.2,263,2.34,31.51,35.04,434.65,428.51,31.995,33.374,71.59,500,1800,99.6
1,10:37:16,20230908,BNL19794,YES,5.24,52.9,259,1.44,30.11,32.42,434.66,427.97,33.594,34.498,80.32,499.7,1800,99.98
2,10:39:35,20230908,BNL19794,NO,5.35,54.1,259,1.43,30.17,32.41,435.02,428.19,33.646,34.566,80.35,499.7,1800,99.98
3,10:40:57,20230908,BNL19794,NO,5.26,54.5,263,1.42,30.15,32.38,434.92,428.19,33.645,34.565,80.43,499.7,1800,99.98
4,10:42:23,20230908,BNL19794,NO,3.25,55.5,195,1.41,30.11,32.31,299.94,295.76,33.615,34.541,80.53,499.7,1800,99.98
5,10:43:45,20230908,BNL19794,NO,2.59,59.6,171,1.39,30.11,32.28,250.04,246.68,33.597,34.581,80.62,499.7,1799,99.98
6,10:45:07,20230908,BNL19794,NO,1.54,68.7,133,1.37,30.12,32.26,174.86,172.81,33.606,34.72,80.91,500.7,1799,99.97
7,10:46:29,20230908,BNL19794,NO,0.841,83,105,1.35,30.12,32.24,125.08,123.9,33.612,34.927,81.4,499.7,1799,99.98
8,10:47:51,20230908,BNL19794,NO,-0.0644,97.3,69.6,1.32,30.11,32.18,70.11,70.08,33.609,35.105,81.86,499.7,1799,99.97
9,10:49:13,20230908,BNL19794,NO,-0.422,111,55.5,1.29,30.11,32.15,49.97,50.39,33.605,35.277,82.25,499.7,1799,99.97
10,10:51:22,20230908,BNL19794,NO,7.04,126,325,1.27,30.12,32.14,435.15,425.88,33.619,35.47,82.65,499.6,1800,99.97
11,10:52:44,20230908,BNL19794,YES,6.88,121,323,1.27,30.12,32.13,434.99,425.95,33.654,35.43,82.57,499.7,1799,99.97
12,10:54:19,20230908,BNL19794,NO,7.4,106,341,1.29,30.1,32.14,474.94,465.29,33.66,35.247,82.21,499.7,1800,99.97
13,10:56:17,20230908,BNL19794,NO,9.12,91.4,487,1.31,30.09,32.14,674.98,663.07,33.669,35.071,81.87,499.7,1800,99.96
14,10:57:47,20230908,BNL19794,NO,9.49,82.5,584,1.32,30.07,32.12,800.19,787.75,33.644,34.92,81.61,499.7,1800,99.96
15,10:59:45,20230908,BNL19794,NO,9.76,71,743,1.33,30.05,32.11,1000.07,987.2,33.593,34.711,81.22,499.7,1800,99.96
16,11:01:24,20230908,BNL19794,NO,10.2,63,1090,1.36,30.05,32.14,1399.84,1386.11,33.563,34.574,80.88,499.7,1801,99.96
17,11:03:31,20230908,BNL19794,NO,10.2,54.4,1450,1.4,30.09,32.25,1800.22,1786.36,33.566,34.469,80.44,499.7,1799,99.95
18,11:05:09,20230908,BNL19794,YES,3.74,49.1,298,1.41,30.1,32.28,434.73,429.87,33.603,34.427,80.3,499.6,1799,99.95
1,11:07:28,20230908,BNL19792,NO,9.4,97.7,252,2.17,31.44,35.52,435.41,423.04,34.012,36.503,78.77,500.1,1798,99.82
2,11:08:58,20230908,BNL19792,YES,9.5,100,254,2.18,31.47,35.56,434.96,422.44,34.013,36.568,78.78,500,1800,99.82
3,11:09:59,20230908,BNL19792,NO,9.48,101,256,2.16,31.47,35.52,434.96,422.46,34.017,36.588,78.81,500.1,1800,99.82
4,11:11:00,20230908,BNL19792,NO,5.77,101,190,2.16,31.47,35.52,300.17,292.46,34.023,36.595,78.83,500.1,1800,99.82
5,11:12:22,20230908,BNL19792,NO,4.47,102,164,2.16,31.47,35.54,250.19,244.16,34.013,36.604,78.85,500.1,1800,99.82
6,11:13:44,20230908,BNL19792,NO,1.7,113,119,1.88,31.46,34.6,149.99,147.57,33.983,36.473,78.62,500.1,1801,99.82
7,11:15:06,20230908,BNL19792,NO,0.284,115,92.3,1.87,31.46,34.56,100.04,99.44,33.986,36.491,78.65,500.1,1801,99.81
8,11:16:28,20230908,BNL19792,NO,-1.11,117,65.1,1.87,31.46,34.57,50.03,51.23,34.018,36.561,78.78,500.1,1800,99.81
9,11:18:27,20230908,BNL19792,YES,10,121,273,1.85,31.47,34.56,434.46,421.3,34.068,36.669,78.97,500.1,1800,99.8
10,11:19:55,20230908,BNL19792,YES,10.2,123,273,1.85,31.49,34.61,434.18,420.8,34.135,36.792,79.14,500.1,1799,99.8
11,11:21:04,20230908,BNL19792,NO,11.3,122,294,1.87,31.5,34.69,474.2,459.41,34.195,36.847,79.21,500.1,1800,99.8
12,11:23:10,20230908,BNL19792,NO,13.6,128,366,1.86,31.52,34.73,574.93,556.99,34.325,37.095,79.69,500.1,1800,99.8
13,11:24:33,20230908,BNL19792,NO,15.6,121,424,1.86,31.53,34.72,674.77,654.3,34.41,37.037,79.51,500.1,1800,99.8
14,11:25:58,20230908,BNL19792,NO,17.3,117,512,1.87,31.52,34.7,800.03,777.23,34.441,36.983,79.43,500.1,1801,99.8
15,11:27:59,20230908,BNL19792,NO,19.8,100,619,2.14,31.51,35.58,1000.23,973.87,34.434,36.96,79.43,500.1,1801,99.79
16,11:30:03,20230908,BNL19792,NO,23.2,83.8,872,2.21,31.5,35.66,1399.65,1368.65,34.396,36.582,78.63,500.1,1800,99.79
17,11:31:59,20230908,BNL19792,NO,24.2,67.4,1130,2,31.5,34.81,1800.05,1768.02,34.359,35.959,77.3,500.1,1800,99.79
18,11:33:33,20230908,BNL19792,YES,5.36,51.3,244,2.36,31.51,35.9,434.81,427.74,34.421,35.866,77.05,500.1,1799,99.78
1,14:11:27,20230908,BNL19795,YES,5.92,56.3,243,2.44,30.71,35.37,435.42,427.58,31.776,33.419,74.96,500.1,1799,99.53
2,14:12:38,20230908,BNL19795,NO,5.64,55,247,2.44,30.72,35.38,434.85,427.37,31.81,33.419,74.93,500.1,1800,99.52
3,14:13:39,20230908,BNL19795,NO,5.57,53.6,245,2.45,30.72,35.42,435.07,427.69,31.842,33.42,74.89,500.1,1800,99.52
4,14:14:40,20230908,BNL19795,NO,3.17,53.5,189,2.46,30.73,35.45,300.13,295.85,31.873,33.45,74.95,500.1,1799,99.52
5,14:16:02,20230908,BNL19795,NO,2.53,56.3,165,2.45,30.74,35.45,250.17,246.72,31.901,33.555,75.14,500.1,1799,99.52
6,14:17:24,20230908,BNL19795,NO,0.885,63.3,121,2.21,30.73,34.69,150.1,148.78,31.927,33.595,75.24,500.1,1800,99.52
7,14:18:46,20230908,BNL19795,NO,-0.0353,68.9,97.2,2.19,30.74,34.7,100.11,99.96,31.969,33.77,75.58,500.1,1799,99.51
8,14:20:08,20230908,BNL19795,NO,-0.881,74.4,68.2,2.18,30.75,34.69,50.07,51.03,32.004,33.928,75.91,500.1,1800,99.51
9,14:22:19,20230908,BNL19795,YES,6.14,77.6,284,2.19,30.76,34.76,434.92,426.66,32.013,34.029,76.1,500.1,1800,99.51
10,14:23:41,20230908,BNL19795,YES,5.5,63.9,274,2.22,30.76,34.76,434.89,427.54,32.035,33.725,75.42,500.1,1799,99.51
11,14:24:42,20230908,BNL19795,NO,6.38,59.5,278,2.24,30.76,34.8,474.75,466.32,32.041,33.634,75.19,500.1,1799,99.51
12,14:26:12,20230908,BNL19795,NO,7.45,54.3,325,2.26,30.77,34.82,574.68,564.89,32.065,33.531,74.93,500,1800,99.5
13,14:27:46,20230908,BNL19795,NO,8.5,46.1,344,2.5,30.78,35.59,674.84,663.69,32.117,33.504,74.83,500.1,1799,99.5
14,14:29:17,20230908,BNL19795,NO,9.21,45.3,435,2.28,30.77,34.85,800.1,788.05,32.159,33.399,74.62,500,1799,99.5
15,14:31:18,20230908,BNL19795,NO,10.1,34.3,484,2.32,30.78,34.91,1000.37,987.31,32.227,33.185,74.12,500.1,1799,99.51
16,14:33:18,20230908,BNL19795,NO,12.3,27.1,614,2.36,30.79,35.01,1400.54,1384.7,32.281,33.055,73.78,500.1,1799,99.5
17,14:35:27,20230908,BNL19795,NO,13.1,22,769,2.4,30.81,35.09,1800.24,1783.32,32.319,32.957,73.49,500.1,1800,99.49
18,14:37:04,20230908,BNL19795,YES,1.72,20.4,282,2.41,30.81,35.13,434.92,432.58,32.386,32.983,73.53,500.1,1799,99.49
1,10:46:22,20230912,BNL19846,YES,4.18,41.9,257,1.79,29.22,32.61,434.61,429.2,30.677,31.57,77.47,500.1,1800,99.96
2,10:50:14,20230912,BNL19846,NO,4.39,41.7,248,1.92,29.23,33.18,434.93,429.23,30.887,31.844,78.09,500.1,1799,99.95
3,10:51:15,20230912,BNL19846,NO,4.44,41.9,247,1.92,29.23,33.2,435.11,429.36,30.93,31.891,78.2,500.1,1799,99.95
4,10:52:16,20230912,BNL19846,NO,2.38,42.5,198,1.92,29.23,33.2,300.02,296.87,30.953,31.926,78.3,500,1800,99.96
5,10:53:38,20230912,BNL19846,NO,1.97,42.7,166,1.91,29.23,33.2,250.12,247.51,31.01,31.985,78.43,500,1800,99.96
6,10:55:00,20230912,BNL19846,NO,0.599,43.3,122,1.91,29.24,33.21,149.96,149.09,31.08,32.067,78.61,500.1,1800,99.96
7,10:56:22,20230912,BNL19846,NO,-0.0288,44.6,97.9,1.9,29.24,33.21,100.02,99.95,31.118,32.13,78.76,500.1,1800,99.96
8,10:57:44,20230912,BNL19846,NO,-0.662,45.2,72.6,1.88,29.24,33.19,50.06,50.8,31.203,32.219,78.97,500,1800,99.96
9,10:59:42,20230912,BNL19846,YES,5.1,48.6,249,1.68,29.25,32.49,434.96,428.41,31.368,32.339,79.22,500,1799,99.95
10,11:01:04,20230912,BNL19846,YES,4.74,49.1,262,1.67,29.26,32.51,434.92,428.8,31.465,32.443,79.42,500.1,1799,99.95
11,11:02:05,20230912,BNL19846,NO,5.54,48.8,273,1.67,29.26,32.53,474.7,467.58,31.509,32.482,79.51,500.1,1800,99.96
12,11:03:42,20230912,BNL19846,NO,6.4,48.1,338,1.67,29.26,32.52,574.9,566.66,31.547,32.503,79.57,500.1,1800,99.96
13,11:05:06,20230912,BNL19846,NO,7.31,47.6,402,1.67,29.26,32.52,674.97,665.56,31.601,32.545,79.66,500.1,1800,99.96
14,11:06:34,20230912,BNL19846,NO,7.82,46.9,502,1.66,29.27,32.51,800.44,790.3,31.673,32.599,79.78,500.1,1800,99.95
15,11:08:44,20230912,BNL19846,NO,8.5,45.7,664,1.66,29.27,32.54,1000,988.87,31.799,32.7,80.01,500.1,1800,99.94
16,11:10:42,20230912,BNL19846,NO,9.59,43.6,999,1.66,29.27,32.56,1400.53,1387.79,31.878,32.74,80.09,500.1,1799,99.94
17,11:12:52,20230912,BNL19846,NO,10.3,41.6,1340,1.65,29.27,32.56,1800.11,1786.21,31.961,32.781,80.22,500.1,1800,99.94
18,11:14:29,20230912,BNL19846,YES,2.51,40.1,320,1.65,29.26,32.57,434.98,431.62,32.001,32.793,80.27,500.1,1801,99.94
1,13:10:24,20230912,BNL19847,YES,2.75,28.8,265,2.08,31.96,34.9,434.97,431.35,34.75,35.472,74.24,500.1,1799,99.7
2,14:24:40,20230912,BNL19847,YES,5.29,55.5,262,1.81,32.03,34.13,434.91,428.02,34.703,35.901,74.69,500.1,1800,99.53
3,14:25:41,20230912,BNL19847,NO,5.24,49.2,243,2.1,32.04,35.12,434.82,427.98,34.726,35.967,74.81,500.1,1800,99.53
4,14:26:42,20230912,BNL19847,NO,2.91,49.1,191,2.1,32.04,35.12,300.01,296.14,34.761,35.997,74.87,500.1,1800,99.53
5,14:28:04,20230912,BNL19847,NO,2.17,49.3,168,2.1,32.04,35.11,250.13,247.2,34.762,36.003,74.89,500.1,1800,99.53
6,14:29:26,20230912,BNL19847,NO,0.639,49.9,123,2.09,32.03,35.1,149.99,149.04,34.769,36.02,74.94,500.1,1800,99.53
7,14:30:48,20230912,BNL19847,NO,-0.195,56.7,103,1.8,32.04,34.13,100.03,100.13,34.823,36.038,74.95,500.1,1800,99.53
8,14:32:10,20230912,BNL19847,NO,-0.921,57.6,75.3,1.8,32.04,34.16,50.09,51.13,34.879,36.112,75.09,500.1,1799,99.53
9,14:34:11,20230912,BNL19847,NO,5.84,52.6,236,2.08,32.05,35.14,435.06,427.47,34.991,36.301,75.45,500.1,1799,99.53
10,14:35:33,20230912,BNL19847,YES,5.52,53.7,249,2.07,32.06,35.16,434.89,427.68,35.086,36.418,75.66,500.1,1799,99.53
