MACHINE,Cultivar,Rep,Date,"Temp from ""termometer""",Tleaf,Photo,Ci,CO2S,Cc,Tleaf Mean ,Cond,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,TotalCV,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo,,,,
MACHINE,Cultivar,Rep,Date,"Temp from ""termometer""",Tleaf,Photo,Ci,CO2S,Cc,Tleaf Mean ,Cond,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,TotalCV,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo,,,,
USDA,84619,2,07_28_2015,24.6,25.10009003,23.92917312,289.7550297,386.8821716,664.5646414,25.18538494,0.44090598,0,0,108.4000015,651,0,0,0,0.833486941,#DIV/0!,#DIV/0!,-1,0.87,0.92,7.899652004,0.873949826,0.016296676,#DIV/0!,1,#DIV/0!,0,0.5,#DIV/0!,5.292529954,1.211283493,25.10009003,2,4.644859791,1,9.289719582,21.75811768,25.10009003,19.96803856,399.8866577,386.8821716,17.49292564,20.08924484,66.1881485,76.01187134,399.5045776,1750.339722,2.24452877,98.92943573,15.31148529,-1.320225477,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.03419096,1.997522888,0.00529253,298.25009,294.9081177,280.0543492,0.036311393,3.198701149,32.33315874,12.24391389,23.42910385,2.893792605,0.420928016,1.987417657,0.906374948,0.264804811,28.66530159,0.748949037,62.87476584,383.404738,0.03924159,542.5999985,1529.709095,0,0,1.199778846,,,,
USDA,84619,,07_28_2015,,25.13437271,19.12091648,212.0053859,289.4224854,482.2111734,,0.439690998,0,0,108.4000015,651,0,0,0,0.833486941,#DIV/0!,#DIV/0!,-1,0.87,0.92,7.899652004,0.873949826,0.013174392,#DIV/0!,1,#DIV/0!,0,0.5,#DIV/0!,5.285754175,1.212880439,25.13437271,2,4.644859791,1,9.289719582,21.76793671,25.13437271,19.96769524,299.7608337,289.4224854,17.54582596,20.13873482,66.35001373,76.15517426,399.4977112,1747.554321,1.569839001,98.93170929,14.08269024,-1.322563052,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.045689199,1.997488556,0.005285754,298.2843727,294.9179367,279.6086852,0.034590776,3.205239897,32.39850923,12.25977442,23.45115471,2.897644516,0.419820506,1.992359458,0.905285057,0.264103523,20.9740552,0.732511801,62.89483558,286.6437968,0.041954751,542.5999985,1527.274795,0,0,1.199778846,,,,
USDA,84619,,07_28_2015,,25.18311119,14.286581,159.4750752,217.4459839,362.9712356,,0.438919582,0,0,108.4000015,651,0,0,0,0.833486941,#DIV/0!,#DIV/0!,-1,0.87,0.92,7.899652004,0.873949826,0.00998387,#DIV/0!,1,#DIV/0!,0,0.5,#DIV/0!,5.295132358,1.21697778,25.18311119,2,4.644859791,1,9.289719582,21.77791977,25.18311119,19.96820259,225.1746674,217.4459839,17.59414864,20.19151306,66.49209595,76.30809784,399.4984741,1751.963135,1.993901372,98.93157196,13.07123947,-1.323949099,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.037465513,1.997492371,0.005295132,298.3331112,294.9279198,280.3140953,0.033969098,3.214555908,32.49272041,12.30120735,23.48051548,2.902780305,0.419117182,1.997578127,0.905202178,0.263658183,15.77711988,0.733400877,62.87163798,215.3698303,0.041705969,542.5999985,1531.127877,0,0,1.199778846,,,,
USDA,84619,,07_28_2015,,25.21847534,8.420152362,111.2631558,145.4923553,257.1075085,,0.443007763,0,0,108.4000015,651,0,0,0,0.833486941,#DIV/0!,#DIV/0!,-1,0.87,0.92,7.899652004,0.873949826,0.0061548,#DIV/0!,1,#DIV/0!,0,0.5,#DIV/0!,5.339065964,1.216170859,25.21847534,2,4.644859791,1,9.289719582,21.80408669,25.21847534,19.96761322,150.0964966,145.4923553,17.64950562,20.26815605,66.59474182,76.47537994,399.5075378,1751.28772,2.137693644,98.93151855,12.01382446,-1.318114519,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.068199433,1.997537689,0.005339066,298.3684753,294.9540867,280.2060289,0.025331406,3.221330315,32.56121368,12.29305763,23.51128101,2.908170355,0.422843232,2.005159456,0.903010899,0.266017604,11.00743296,0.764735408,62.98707851,144.2687225,0.036762008,542.5999985,1530.537598,0,0,1.199778846,,,,
USDA,84619,,07_28_2015,,25.2694149,4.292824754,79.65110909,97.54319763,188.3957108,,0.443828316,0,0,108.4000015,651,0,0,0,0.833486941,#DIV/0!,#DIV/0!,-1,0.87,0.92,7.899652004,0.873949826,0.0034586,#DIV/0!,1,#DIV/0!,0,0.5,#DIV/0!,5.364226622,1.219666208,25.2694149,2,4.644859791,1,9.289719582,21.82673073,25.2694149,19.96697807,99.95427704,97.54319763,17.70041847,20.33132362,66.69571686,76.60904694,399.494812,1751.058472,1.721827984,98.93325806,11.19947338,-1.324153781,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.079381116,1.99747406,0.005364227,298.4194149,294.9767307,280.1693492,0.019419273,3.231110294,32.65949548,12.32817186,23.54807281,2.914627685,0.423590724,2.011444087,0.903183599,0.266490966,7.88014373,0.816572668,62.99310576,96.91935604,0.027901379,542.5999985,1530.337247,0,0,1.199778846,,,,
USDA,84619,,07_28_2015,,25.26582718,-0.105299167,49.19989616,49.80060196,123.2629883,,0.450071531,0,0,108.4000015,651,0,0,0,0.833486941,#DIV/0!,#DIV/0!,-1,0.87,0.92,7.899652004,0.873949826,0.000584573,#DIV/0!,1,#DIV/0!,0,0.5,#DIV/0!,5.404901728,1.21267045,25.26582718,2,4.644859791,1,9.289719582,21.82748985,25.26582718,19.96615028,49.88264084,49.80060196,17.74334335,20.39406586,66.85762787,76.84564972,399.4891052,1751.266724,1.96593821,98.93810272,10.48528194,-1.324635029,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.076589637,1.997445526,0.005404902,298.4158272,294.9774899,280.2026695,0.01258082,3.230420633,32.65092562,12.25685976,23.54665852,2.91437923,0.429273921,2.017750183,0.896629047,0.270090309,4.86774438,0.98793778,63.2200816,49.81590424,-0.001336325,542.5999985,1530.519248,0,0,1.199778846,,,,
USDA,84619,,07_28_2015,,25.14753914,24.36740548,291.2937711,386.1723938,667.3159141,,0.460486998,0,0,108.4000015,651,0,0,0,0.833486941,#DIV/0!,#DIV/0!,-1,0.87,0.92,7.899652004,0.873949826,0.016574167,#DIV/0!,1,#DIV/0!,0,0.5,#DIV/0!,5.39443209,1.184410737,25.14753914,2,4.644859791,1,9.289719582,21.83493423,25.14753914,19.96609879,399.4145508,386.1723938,17.80357552,20.44900513,67.0593338,77.02366638,399.4906006,1751.289063,2.642720699,98.94581604,15.10066891,-1.32526803,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.041966733,1.997453003,0.005394432,298.2975391,294.9849342,280.2062437,0.020181499,3.207754237,32.41930144,11.97029631,23.49123669,2.904657643,0.438738917,2.023343499,0.881314144,0.276086197,28.82229989,0.754310188,63.86527901,382.6312754,0.040671823,542.5999985,1530.538771,0,0,1.199778846,,,,
USDA,84619,,07_28_2015,,25.11131668,28.88846657,470.020204,584.0377808,1102.829344,,0.464201518,0,0,108.4000015,651,0,0,0,0.833486941,#DIV/0!,#DIV/0!,-1,0.87,0.92,7.899652004,0.873949826,0.01953239,#DIV/0!,1,#DIV/0!,0,0.5,#DIV/0!,5.376775947,1.171582345,25.11131668,2,4.644859791,1,9.289719582,21.83862305,25.11131668,19.96667671,600.0726929,584.0377808,17.87142754,20.50806236,67.30212402,77.23143768,399.4871521,1750.901611,2.753420353,98.94931793,16.77689934,-1.330637574,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.048457235,1.99743576,0.005376776,298.2613167,294.988623,280.1442516,0.02486519,3.200841128,32.34828895,11.84022659,23.47496986,2.901809656,0.442109577,2.029258783,0.872550873,0.27822187,46.5081786,0.804777053,64.19331881,579.839653,0.031982058,542.5999985,1530.200159,0,0,1.199778846,,,,
USDA,84619,,07_28_2015,,25.15459442,30.35121668,658.8194289,782.9353638,1571.17053,,0.459586546,0,0,108.4000015,651,0,0,0,0.833486941,#DIV/0!,#DIV/0!,-1,0.87,0.92,7.899652004,0.873949826,0.020486841,#DIV/0!,1,#DIV/0!,0,0.5,#DIV/0!,5.342373917,1.175150424,25.15459442,2,4.644859791,1,9.289719582,21.85616875,25.15459442,19.96607208,800.2247314,782.9353638,17.93564415,20.55531693,67.47220612,77.3271637,399.4819336,1751.027222,2.761447906,98.95015717,17.97896004,-1.331129789,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.029137995,1.997409668,0.005342374,298.3045944,295.0061687,280.1643492,0.029806618,3.209102264,32.43150245,11.87618552,23.50538158,2.907136111,0.437921436,2.03395184,0.873184271,0.275568269,65.19028603,0.841473587,64.15736696,778.5246663,0.025012106,542.5999985,1530.309936,0,0,1.199778846,,,,
USDA,84619,,07_28_2015,,25.26910782,31.07443851,844.4034467,981.5322876,2033.32252,,0.434228438,0,0,108.4000015,651,0,0,0,0.833486941,#DIV/0!,#DIV/0!,-1,0.87,0.92,7.899652004,0.873949826,0.020967641,#DIV/0!,1,#DIV/0!,0,0.5,#DIV/0!,5.158067275,1.197613317,25.26910782,2,4.644859791,1,9.289719582,21.87925339,25.26910782,19.96765709,999.6239624,981.5322876,18.02083015,20.55008698,67.6973114,77.19876099,399.4903564,1750.342285,2.024872065,98.95033264,18.56770515,-1.326254487,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.022686994,1.997451782,0.005158067,298.4191078,295.0292534,280.0547594,0.057635524,3.231051259,32.65326324,12.10317626,23.5741806,2.919217466,0.41483772,2.033437942,0.885779524,0.260948667,83.55400193,0.860291054,63.62172094,977.0164901,0.020235168,542.5999985,1529.711336,0,0,1.199778846,,,,
MACHINE,Cultivar,Rep,Date,"Temp from ""termometer""",Tleaf,Photo,Ci,CO2S,Cc,Tleaf Mean ,Cond,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,TotalCV,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo,,,,
USDA,88351,1,07_24_2015,24.5,26.53996658,24.32161579,846.7436652,985.5430298,2056.055123,26.36040268,0.346844165,10,10,108.4000015,651,291.8842773,434.9584961,380.5892639,0.833486941,0.328937634,0.124998667,-1,0.87,0.92,7.853507042,0.873926754,0.016540792,0.380007192,0.601592997,0.496694526,1751.838745,0.5,95.68515124,5.27741327,1.522007674,26.53996658,2,4.644859791,1,9.289719582,23.24706459,26.53996658,21.02629662,1000.289246,985.5430298,17.19967079,19.78351974,59.58377838,68.53485107,400.4109802,1751.701416,4.114302158,99.15222168,18.65621567,-1.221445203,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,0.075025022,2.002054901,0.005277413,299.6899666,296.3970646,280.2722203,0.039822944,3.483587609,35.13373225,15.35021251,24.89351559,3.159547301,0.334360371,1.961579935,1.197967366,0.210062077,83.9565156,0.859164582,56.69256874,982.0085656,0.01404117,542.5999985,1530.858732,143.0742188,0.166491557,0.398159795,,,,
USDA,88351,,07_24_2015,,26.6868,19.50238846,285.9875925,389.0958862,666.21301,,0.340468213,1,1,108.4000015,651,305.9260254,482.3700562,410.5202637,0.833486941,0.365785621,0.148951602,-1,0.87,0.92,7.830635548,0.873915318,0.013389999,0.407210106,0.488677664,0.34958626,1752.159302,0.5,114.0402399,5.245910299,1.540613482,26.6868,2,4.644859791,1,9.289719582,23.25583267,26.6868,21.03213882,399.8564758,389.0958862,17.32398605,19.89209557,60.00967026,68.90550995,400.415802,1752.08252,4.409369469,99.19687653,15.12872505,-1.239454746,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.029466987,2.00207901,0.00524591,299.8368,296.4058327,280.3331969,0.039198336,3.51384723,35.42296242,15.53086686,24.97131634,3.174244104,0.328431209,1.973233748,1.201010356,0.20631805,28.3690759,0.735005438,56.50298935,386.2617615,0.028528406,542.5999985,1531.171752,176.4440308,0.192127128,0.31078132,,,,
USDA,88351,,07_24_2015,,26.55024719,14.88029324,215.6296412,291.8421936,501.8733699,,0.351765425,2,2,108.4000015,651,297.8649902,455.9631042,392.6154175,0.833486941,0.346734445,0.138931607,-1,0.87,0.92,7.853507042,0.873926754,0.010370283,0.400685911,0.552301217,0.4277471,1752.442017,0.5,106.3872922,5.316913648,1.513177538,26.55024719,2,4.644859791,1,9.289719582,23.18132401,26.55024719,20.96421814,300.0494995,291.8421936,17.28386688,19.88669968,60.13545609,69.1914444,400.4235535,1752.237183,4.422418594,99.18796539,13.96105957,-1.241183519,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.024019439,2.002117767,0.005316914,299.7002472,296.331324,280.357943,0.029785037,3.485698818,35.14235627,15.25565659,24.8657856,3.154323415,0.338931415,1.972521279,1.181802135,0.212948979,21.38786539,0.738856978,56.98939226,289.6797606,0.029274357,542.5999985,1531.326952,158.098114,0.182262404,0.359448758,,,,
USDA,88351,,07_24_2015,,26.41410065,10.92826804,165.581247,218.9696503,386.6324475,,0.371416195,3,3,108.4000015,651,293.2248535,437.3174133,383.7884827,0.833486941,0.329491933,0.122402925,-1,0.87,0.92,7.853507042,0.873926754,0.00778892,0.3714899,0.597253858,0.488621263,1752.411987,0.5,93.72879879,5.4860105,1.481793074,26.41410065,2,4.644859791,1,9.289719582,23.12101746,26.41410065,20.90389252,225.0280457,218.9696503,17.23798943,19.92351913,60.19075775,69.56795502,400.4208069,1752.367188,4.409810066,99.18113708,12.87838459,-1.246564031,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.026946176,2.002104034,0.00548601,299.5641006,296.2710175,280.3787437,0.003684695,3.457830357,34.86379022,14.94027108,24.76755905,3.135879777,0.357137337,1.976037282,1.159842494,0.224451238,16.42253636,0.756183548,57.63363551,217.3815332,0.02897375,542.5999985,1531.440567,144.0925598,0.16274277,0.393812361,,,,
USDA,88351,,07_24_2015,,26.38627434,6.259204403,117.0712075,146.4556122,277.0300079,,0.396146937,4,4,108.4000015,651,291.3869629,424.346405,382.1838074,0.833486941,0.313327603,0.099358913,-1,0.87,0.92,7.853507042,0.873926754,0.004742878,0.317108714,0.630270795,0.53412399,1751.450684,0.5,76.04134413,5.766728229,1.463958332,26.38627434,2,4.644859791,1,9.289719582,23.1792717,26.38627434,20.9521389,150.0038452,146.4556122,17.22493172,20.04758453,59.92943192,69.75008392,400.4119263,1751.346191,4.231646538,99.17404938,11.80769444,-1.254617691,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.059731167,2.002059631,0.005766728,299.5362743,296.3292717,280.2153844,-0.042525661,3.45215847,34.8090906,14.76150607,24.78277302,3.138730264,0.379944732,1.988200138,1.150530125,0.238869845,11.61042572,0.799363068,58.18033925,145.5460125,0.025020447,542.5999985,1530.548291,132.9594421,0.133448576,0.417717648,,,,
