"SampleID","date","Remove_gswmin","Tair","Tleaf","RHs","VPDleaf","CO2s","Qin","gsw","Ci","A","Rdark","Patm"
"BNL20438","20220303","NO",29.91,28.9790909090909,69.1890909090909,1.08454545454545,401.915454545455,1,29.3818181818182,490.636363636364,-1.75636363636364,1.75636363636364,100.7
"BNL20439","20220303","NO",30.3154545454545,28.8672727272727,52.8309090909091,1.69818181818182,401.696363636364,-1.81818181818182,27.9636363636364,483.181818181818,-1.62454545454545,1.62454545454545,100.7
"BNL20444","20220303","NO",29.5218181818182,28.9009090909091,66.5,1.24272727272727,401.036363636364,1,22.1818181818182,462.363636363636,-0.963818181818182,0.963818181818182,100.4
"BNL20445","20220303","NO",30.1018181818182,29.0063636363636,68.3209090909091,1.09727272727273,401.285454545455,-2,57.2909090909091,433.727272727273,-1.40636363636364,1.40636363636364,100.3
"BNL20448","20220304","NO",26.3293545454545,25.9990181818182,64.9927250558841,1.1379342543402,400.148090909091,0,10.1621257617844,425.236741856685,-0.202663155098209,0.202663155098209,101.194636363636
"BNL20449","20220304","NO",25.5195545454545,24.9961,64.9108438874995,1.05017980723775,400.220909090909,0,9.28550174279446,437.256959339861,-0.255297475100487,0.255297475100487,101.127818181818
"BNL20450","20220304","NO",25.4490909090909,24.89,59.6254545454545,1.21,401.513636363636,-1,55.6,436.454545454545,-1.47363636363636,1.47363636363636,100.9
"BNL20451","20220304","NO",25.1527272727273,25.1027272727273,62.9827272727273,1.18,400.560909090909,0,6.33363636363636,523.181818181818,-0.513181818181818,0.513181818181818,100.8
"BNL20452","20220304","YES",25.3736363636364,24.9318181818182,69.7481818181818,0.899454545454546,400.169090909091,1,19.2727272727273,412,-0.216054545454545,0.216054545454545,100.9
"BNL20453","20220304","NO",29.3118181818182,27.9945454545455,39.1827272727273,2.19,401.035454545455,0,10.5454545454545,520.636363636364,-0.894454545454546,0.894454545454546,101.1
"BNL20454","20220304","NO",25.4878545454545,25.0030181818182,65.0338979602178,1.05146688416511,400.260909090909,0,6.82188122915419,461.594693846863,-0.28978713619032,0.28978713619032,100.813636363636
"BNL20455","20220304","NO",26.3590727272727,26.0035727272727,65.0617990456673,1.13253833107406,400.210454545455,0,3.47386130572188,497.798293123124,-0.22846071191433,0.22846071191433,100.886
"BNL20456","20220304","NO",29.0163636363636,28.0963636363636,41.1663636363636,2.16,401.090909090909,0,7.84454545454545,556.545454545455,-0.842545454545454,0.842545454545454,100.8
"BNL20457","20220304","NO",28.0245454545455,26.8927272727273,41.5763636363636,1.98,401.618181818182,-1,40.1363636363636,448.727272727273,-1.50181818181818,1.50181818181818,100.7
"BNL20458","20220304","NO",27.8272727272727,27.0836363636364,52.2418181818182,1.63181818181818,400.73,1,8.46,520.909090909091,-0.694909090909091,0.694909090909091,100.7
"BNL20459","20220304","NO",27.9009090909091,27.0336363636364,52.4109090909091,1.60909090909091,400.455454545455,0,5.97727272727273,502.090909090909,-0.4338,0.4338,100.627272727273
"BNL20462","20220307","NO",27.3727272727273,27.8663636363636,67.1190909090909,1.31,400.900909090909,1.45454545454545,27.1636363636364,444.545454545455,-0.885181818181818,0.885181818181818,100.7
"BNL20468","20220307","NO",28.4627272727273,28.97,59.3927272727273,1.7,400.808181818182,1,14.0818181818182,479.636363636364,-0.797636363636364,0.797636363636364,100.3
"BNL20472","20220308","NO",29.15,29.0081818181818,44.7709090909091,2.20818181818182,400.667272727273,1,43.8818181818182,423.545454545455,-1.01554545454545,1.01554545454545,100.5
"BNL20473","20220308","NO",29.1472727272727,28.9354545454545,43.8554545454545,2.22727272727273,400.708181818182,0,59.3727272727273,415.727272727273,-1.08763636363636,1.08763636363636,100.6
"BNL20476","20220308","NO",29.0845454545455,28.8681818181818,58.19,1.63909090909091,400.435454545455,0,38.3363636363636,416.818181818182,-0.648818181818182,0.648818181818182,100.3
"BNL20477","20220308","NO",29.78,28.9563636363636,58.8290909090909,1.54,400.371818181818,1,47.9545454545455,410.090909090909,-0.589,0.589,100.2
"BNL20481","20220309","NO",28.8218181818182,29.1427272727273,64.5109090909091,1.48909090909091,401.909090909091,0,17.9636363636364,548,-1.76,1.76,100.5
"BNL20482","20220309","NO",29.9,28.9490909090909,59.1190909090909,1.50727272727273,401.765454545455,-1,40.9818181818182,458.545454545455,-1.70181818181818,1.70181818181818,100.5
"BNL20485","20220309","NO",30.8618181818182,30.1327272727273,42.2463636363636,2.40090909090909,401.998181818182,0,19.5545454545455,542.454545454545,-1.93,1.93,100.2
"BNL20486","20220309","NO",31.3854545454545,29.8927272727273,54.1009090909091,1.74090909090909,401.89,-1,25.7818181818182,505.181818181818,-1.86272727272727,1.86272727272727,100.2
"BNL20493","20220310","NO",29.5845454545455,28.9609090909091,50.5690909090909,1.91,401.043636363636,-1,56.1272727272727,425.636363636364,-1.29545454545455,1.29545454545455,100.6
"BNL20494","20220310","NO",29.25,28.9927272727273,65.0436363636364,1.36636363636364,400.622727272727,1,70.6090909090909,414.181818181818,-0.977,0.977,100.7
"BNL20497","20220310","NO",29.15,28.9154545454545,50.9481818181818,1.93545454545455,400.744545454545,1,52.8181818181818,419,-1.01209090909091,1.01209090909091,100.4
"BNL20498","20220310","NO",31.59,29.8509090909091,36.1209090909091,2.54,401.391818181818,-1,32.7909090909091,461.363636363636,-1.58,1.58,100.3
"BNL20505","20220311","NO",28.2936363636364,27.9518181818182,60.9918181818182,1.43,401.408181818182,1,10.4872727272727,564.090909090909,-1.12763636363636,1.12763636363636,100.6
"BNL20506","20220311","NO",29.0418181818182,27.9672727272727,59.32,1.39454545454545,402.037272727273,-1,17.6363636363636,556.363636363636,-1.81272727272727,1.81272727272727,100.6
"BNL20509","20220311","NO",32.1672727272727,29.8409090909091,42.69,2.16363636363636,401.726363636364,1,47.2909090909091,452.545454545455,-1.92090909090909,1.92090909090909,100.3
"BNL20510","20220311","NO",33.0827272727273,30.0036363636364,32.1036363636364,2.63363636363636,401.263636363636,-1,33.8545454545455,449.636363636364,-1.39181818181818,1.39181818181818,100.3
"BNL20516","20220314","NO",24.54,24.9454545454545,59.08,1.34,400.89,0,2.92545454545455,785.272727272727,-0.725272727272727,0.725272727272727,100.7
"BNL20517","20220314","NO",25.3545454545455,25.0781818181818,65.3272727272727,1.07090909090909,400.567272727273,0,16.9818181818182,437.909090909091,-0.471090909090909,0.471090909090909,100.809090909091
"BNL20518","20220314","NO",24.8609090909091,24.8845454545455,48.8881818181818,1.61909090909091,401.316363636364,-1,12.6181818181818,537.454545454545,-1.16909090909091,1.16909090909091,100.872727272727
"BNL20519","20220314","NO",25.3435727272727,25.0015545454545,70.0278346388606,0.907292975261843,400.583818181818,0,2.4895664459424,776.330250591193,-0.577530500328352,0.577530500328352,100.972181818182
"BNL20520","20220314","NO",25.2385454545455,24.9968545454545,69.9604202560389,0.922731639096118,400.325727272727,0,3.11923238675536,783.070848091189,-0.31316599643005,0.31316599643005,101.110727272727
"BNL20521","20220314","YES",25.9463454545455,25.6886090909091,69.9986105798646,0.958136929967416,399.991545454545,0,9.38159722240099,456.088823223479,-0.361986484176696,0.361986484176696,100.796181818182
"BNL20527","20220323","NO",27.26,27.8763636363636,56.1372727272727,1.73,400.304545454545,-1,4.67818181818182,499.272727272727,-0.326272727272727,0.326272727272727,100.4
"BNL20528","20220323","NO",28.4572727272727,28.0163636363636,58.3909090909091,1.52272727272727,400.119090909091,1,14.8363636363636,413.909090909091,-0.220272727272727,0.220272727272727,100.4
"BNL20531","20220323","NO",29.5618181818182,29.1436363636364,54.4309090909091,1.79181818181818,399.959090909091,1,5.15272727272727,477.363636363636,-0.290272727272727,0.290272727272727,100.1
"BNL20532","20220323","NO",27.4545454545455,28.1163636363636,57.0345454545455,1.72,400.25,-1,7.94272727272727,454.636363636364,-0.329909090909091,0.329909090909091,100.018181818182
"BNL21679","20220404","NO",26.4251636363636,26.0000272727273,55.0278878602163,1.47025086867213,400.336727272727,0,6.6949052749536,479.680936207043,-0.375490466895809,0.375490466895809,100.826818181818
"BNL21680","20220404","NO",26.3122,26.0007545454545,55.0423640827637,1.48254848541265,400.484181818182,0,7.66066174566245,500.509182126873,-0.529891969906782,0.529891969906782,100.916545454545
"BNL21681","20220404","NO",25.2,24.87,47.75,1.62,400.258181818182,1,5.11,461.818181818182,-0.229027272727273,0.229027272727273,100.7
"BNL21682","20220404","NO",24.88,24.8745454545455,47.52,1.65818181818182,400.184545454545,0,11.8727272727273,445.909090909091,-0.422190909090909,0.422190909090909,100.6
"BNL21683","20220404","NO",26.4254454545455,25.9981454545455,55.0922109656639,1.46761785022846,400.460909090909,0,7.79949113063369,493.608433688877,-0.50551754119486,0.50551754119486,100.605272727273
"BNL21684","20220404","NO",26.3155181818182,26.0002090909091,54.9918796800273,1.48380453824898,400.314454545455,0,6.639208199918,468.252017273113,-0.324673401940112,0.324673401940112,100.711636363636
"BNL21685","20220404","NO",26.69,26.0418181818182,38.5418181818182,2.03,400.320909090909,-2,5.37818181818182,489.363636363636,-0.347818181818182,0.347818181818182,100.5
"BNL21686","20220404","NO",25.4709090909091,25.04,55.3736363636364,1.38,400.239090909091,1,4.79181818181818,475.636363636364,-0.254181818181818,0.254181818181818,100.5
"BNL21687","20220404","NO",25.0381818181818,25.0390909090909,53.4945454545455,1.48,235.155454545455,0,18.1090909090909,284.363636363636,-0.625636363636364,0.625636363636364,100.4
"BNL21690","20220405","NO",26.4370090909091,26.0006090909091,54.9930763377319,1.47024190618523,400.040090909091,0,2.80897945658962,419.985729697268,-0.0529942043396077,0.0529942043396077,100.810727272727
"BNL21691","20220405","NO",26.37493,26.00038,55.0038217341848,1.47678589689853,400.5935,0,18.4075409790049,451.340297114653,-0.699200413041009,0.699200413041009,100.8107
"BNL21692","20220405","NO",26.6,25.9245454545455,47.5590909090909,1.7,400.340909090909,-2,5.83272727272727,472.363636363636,-0.305909090909091,0.305909090909091,100.7
"BNL21693","20220405","NO",26.5690909090909,25.9354545454545,60.4790909090909,1.25,400.405454545455,1,5.23181818181818,510.636363636364,-0.386363636363636,0.386363636363636,100.6
"BNL21694","20220405","NO",24.9227272727273,24.9545454545455,61.8172727272727,1.21454545454545,400.415454545455,0,3.79454545454545,500.818181818182,-0.259363636363636,0.259363636363636,100.6
"BNL21695","20220405","NO",26.5474818181818,25.9966909090909,54.9451873731112,1.45868688761939,400.047,0,1.79763818612685,447.480492810156,-0.0637269230624216,0.0637269230624216,100.425
"BNL21696","20220405","NO",26.6090909090909,25.9945454545455,56.62,1.39,179.705454545455,-2,2.69818181818182,702.909090909091,-0.887272727272727,0.887272727272727,100.4
"BNL21697","20220405","NO",24.9072727272727,24.9272727272727,64.8481818181818,1.11636363636364,400.374545454545,0,4.21909090909091,501.090909090909,-0.285372727272727,0.285372727272727,100.3
"BNL21698","20220405","NO",26.3557818181818,26.0000727272727,55.0382178634339,1.4776824083548,400.464545454545,0,9.56472790311174,475.847994360155,-0.512539116267773,0.512539116267773,100.505636363636
"BNL21699","20220405","NO",25.4527272727273,24.8718181818182,57.8,1.26636363636364,400.501818181818,1,5.71727272727273,485.272727272727,-0.334818181818182,0.334818181818182,100.3
